;civilite_dirigeant;fonction_dirigeant;nom_dirigeant;prenom_dirigeant;representants_id;nom_prenom_dirigeant
44;M;Dirigeant;FERRAND;Rémi;26;FERRAND Rémi
45;M;Mandataire autorisé;CHO;Yong Hui;27;CHO Yong Hui
46;M;Président;BORNHAUSER;Marc;28;BORNHAUSER Marc
47;M;PRESIDENT;FARGUES;Yves;29;FARGUES Yves
48;M;SECRETAIRE GENERAL;BLOT;Claude;29;BLOT Claude
49;M;PRESIDENT;HEMAR;Eric;29;HEMAR Eric
50;M;VICE-PRESIDENT;SANCIER;Jean-Pierre;29;SANCIER Jean-Pierre
51;M;DELEGUE GENERAL;DEGOUY;Alexis;29;DEGOUY Alexis
52;MME;Présidente EDT Pays de la Loire;LEMAITRE;Marie Christine;30;LEMAITRE Marie Christine
53;MME;Présidente EDT Mayenne;LEMAITRE;Marie Christine;30;LEMAITRE Marie Christine
54;M;Président EDT Vendée;BRETIN;Patrick;30;BRETIN Patrick
55;MME;Présidente EDT Loire Atlantique;ROBERT;Marie Annick;30;ROBERT Marie Annick
56;M;Président EDT Maine et Loire;HORREAU;Philippe;30;HORREAU Philippe
57;M;Président EDT Sarthe;LEVEILLE;Michel;30;LEVEILLE Michel
58;M;Président;BEGUERIE;Pierre;31;BEGUERIE Pierre
59;M;Président;CHEMIN;Jean-Yves;32;CHEMIN Jean-Yves
60;M;Vice-President Government Affairs;FREEMAN;Gidon;33;FREEMAN Gidon
61;M;Directeur Universal Pictures International France;ALBERT;Xavier;33;ALBERT Xavier
62;MME;secrétaire générale;PATOUREL;Laurence;34;PATOUREL Laurence
63;M;Président;DE SURVILLE;Loic;34;DE SURVILLE Loic
64;M;Président;CANS;Denis;35;CANS Denis
65;MME;Déléguée Générale;ADAM;Béatrice;35;ADAM Béatrice
66;M;Directeur général;ABADIE;Jean-François;36;ABADIE Jean-François
67;M;Directeur général délégué;SALIBA;Joseph;36;SALIBA Joseph
68;MME;Directrice générale déléguée;DUVAUD;Catherine;36;DUVAUD Catherine
69;M;1er vice-président;DOISEAU;James;37;DOISEAU James
70;M;2ème vice-président;MONNIER;Bernard Henri;37;MONNIER Bernard Henri
71;M;Président;BIBANOW;Michel;37;BIBANOW Michel
72;M;3ème vice-président;LORENZO;Antonio;37;LORENZO Antonio
73;MME;4ème vice-présidente;FERTEUX;Géraldine;37;FERTEUX Géraldine
74;M;Secrétaire Général;GUINOISEAU;Eric;37;GUINOISEAU Eric
75;M;Président;RIBEMONT;Thomas;38;RIBEMONT Thomas
76;MME;Directrice Générale;ANDRIEUX;Véronique;38;ANDRIEUX Véronique
77;M;Directeur Général;DUNCAN;Matthieu;39;DUNCAN Matthieu
78;M;Directeur général délégué;KOBAR;Ibrahima;39;KOBAR Ibrahima
79;MME;Directeur général délégué;DERAMBURE;Valérie;39;DERAMBURE Valérie
80;M;Président;PAGLIA;Stéphane;40;PAGLIA Stéphane
81;M;Directeur Général;PHILIBERT;Sébastien;40;PHILIBERT Sébastien
82;MME;Directrice générale;CHAZEAU;Anne-Laure;41;CHAZEAU Anne-Laure
83;M;Président;JAYAT;Jean-Louis;41;JAYAT Jean-Louis
84;M;Président;PLAT;Eric;42;PLAT Eric
85;MME;Déléguée générale;BOUTHELIER;Alexandra;42;BOUTHELIER Alexandra
86;M;Président;GENET;Philippe;43;GENET Philippe
87;MME;;JOUVET;Alexandra;44;JOUVET Alexandra
88;M;Associé-gérant;BAILLET;Francis;45;BAILLET Francis
89;M;Président Compagnie Minière Montagne d'Or;PARIS;Pierre;46;PARIS Pierre
90;M;Directeur Administratif Compagnie Minière Montagne d'Or;BOUDRIE;Michel;46;BOUDRIE Michel
91;M;Président;BOUREL;Michel;47;BOUREL Michel
92;M;Président;NAPIAS;Gérard;48;NAPIAS Gérard
93;M;Directeur;DURAND;Patrice;48;DURAND Patrice
94;M;Président;LE LOUS;Hervé;49;LE LOUS Hervé
95;M;Président;DE BOTTON;Philippe;50;DE BOTTON Philippe
96;MME;Présidente;SIVIGNON;Françoise;50;SIVIGNON Françoise
97;M;Secrétaire Général;VOGLEY;Jean-Charles;51;VOGLEY Jean-Charles
98;M;Président;THUILLIER;Pierre;51;THUILLIER Pierre
99;M;Président;BERNHARDT;Christian;52;BERNHARDT Christian
100;MME;Directrice générale adjointe;VIO;Isabelle;52;VIO Isabelle
101;MME;Directrice Générale;JACGLIN;Christine;53;JACGLIN Christine
102;MME;Présidente;CURAT;Anne-Marie;54;CURAT Anne-Marie
103;M;Président;BENETTI;Jean;55;BENETTI Jean
104;M;Directeur Général;PATRY;Didier;56;PATRY Didier
105;MME;Directrice générale;COFFINIER;Anne;57;COFFINIER Anne
106;M;Président;BOL;Frédéric;58;BOL Frédéric
107;M;Délégué général;DEWACHTER;Arnaud;58;DEWACHTER Arnaud
108;M;Président;LESPARRE;François;59;LESPARRE François
109;MME;Secrétaire Générale;CAZAUBON;Marie-Hélène;59;CAZAUBON Marie-Hélène
110;M;Secrétaire Général Adjoint;LARRERE;Jean Michel;59;LARRERE Jean Michel
111;M;Secrétaire Général Adjoint;LAFARGUE;Denis;59;LAFARGUE Denis
112;M;Président;CHICHE;Thierry;60;CHICHE Thierry
113;M;Directeur Général;BODKIER;Michel;60;BODKIER Michel
114;M;Directeur General;DARD;Emmanuel;60;DARD Emmanuel
115;M;Directeur Général;PIC;François-Philippe;60;PIC François-Philippe
116;M;Directeur Général;CHICHE;Laurent;60;CHICHE Laurent
117;M;Directeur Général;SYLBERG;David;60;SYLBERG David
118;MME;Directeur Général;CUNIN;Michèle;60;CUNIN Michèle
119;M;Président;NIEDERMAIER;Jean-Louis;61;NIEDERMAIER Jean-Louis
120;M;Group Managing Director / Board Member;PALUS;Jean-François;62;PALUS Jean-François
121;M;Président Directeur Général;AGON;Jean Paul;63;AGON Jean Paul
122;M;Président;BERNIGAUD;Franck;64;BERNIGAUD Franck
123;MME;Vice Présidente;ARNOUT;Marie;64;ARNOUT Marie
124;M;Trésorier adjoint;ETELLIN;Laurent;64;ETELLIN Laurent
125;M;Trésorier;GUILLOUX;François Xavier;64;GUILLOUX François Xavier
126;M;Délégué Général;MARTIN SAINT LEON;Laurent;64;MARTIN SAINT LEON Laurent
127;M;Président;PATRY;Richard;65;PATRY Richard
128;M;Président délégué;DECRETTE;Jean-Pierre;65;DECRETTE Jean-Pierre
129;M;Président;JACQUES;Rouchausse;66;JACQUES Rouchausse
130;M;Directeur;RIVAL;Bertrand;66;RIVAL Bertrand
131;MME;Présidente;COMTE-ARASSUS;Laurence;67;COMTE-ARASSUS Laurence
132;M;Président;CLAUSSE;Pierre-Jean;68;CLAUSSE Pierre-Jean
133;M;Délégué général;MARTIN;Emmanuel;69;MARTIN Emmanuel
134;MME;Présidente;CHALMETTE;Julie;69;CHALMETTE Julie
135;M;Président Délégué Général;MASSÉ;Philippe;70;MASSÉ Philippe
136;M;PRESIDENT;MASSA;Max;71;MASSA Max
137;MME;SECRETAIRE GENERALE;CHARRIER-IZEL;Patricia;71;CHARRIER-IZEL Patricia
138;M;DIRECTEUR;SAVY;Yvan;72;SAVY Yvan
139;M;Président;MUNOZ;Cédric;73;MUNOZ Cédric
140;M;Secrétaire général;TOULIS;Rémi;73;TOULIS Rémi
141;M;Vice Président;NAUDI;Jean François;73;NAUDI Jean François
142;M;Vice Président;SAURAT;Laurent;73;SAURAT Laurent
143;M;Vice Président;VENTURIN;Joël;73;VENTURIN Joël
144;M;Trésorier;HATO;Jacques;73;HATO Jacques
145;MME;Directrice;GIRONCE;Estelle;73;GIRONCE Estelle
146;M;Président;VIDOR;Hugues;74;VIDOR Hugues
147;M;Délégué général;DARRIGRAND;Sébastien;74;DARRIGRAND Sébastien
148;MME;Co-gérant;BESLIN;Marie-Rose;75;BESLIN Marie-Rose
149;M;Co-Gérant;SANANES;Bernard;75;SANANES Bernard
150;M;Directeur général;DOMAS;Hervé;76;DOMAS Hervé
151;M;1er co-président;VALENTIN;Jérôme;77;VALENTIN Jérôme
152;M;Délégué général;CAILLET;Virgile;77;CAILLET Virgile
153;M;Président;REBIBO;Alexandre;78;REBIBO Alexandre
154;M;Vice-Président;LAZIOU;Julien;78;LAZIOU Julien
155;MME;Déléguée Générale;LEVAVASSEUR;Pauline;78;LEVAVASSEUR Pauline
156;M;Président;AMMEUX;Simon;79;AMMEUX Simon
157;M;Président;BAUMGARTEN;Didier;80;BAUMGARTEN Didier
158;M;Secrétaire Général;VOGLEY;Jean-Charles;80;VOGLEY Jean-Charles
159;MME;Présidente;ROSENTRAUB;Célia;81;ROSENTRAUB Célia
160;M;AVOCAT, ASSOCIE FONDATEUR;EMILE;Meunier;82;EMILE Meunier
161;M;PRESIDENT;BRAYOTEL;Damien;83;BRAYOTEL Damien
162;M;Président;ABOBI;Ghislain;84;ABOBI Ghislain
163;MME;Présidente;MESPLES;Aline;85;MESPLES Aline
164;M;Président;BRENIER;Jean Pierre;86;BRENIER Jean Pierre
165;MME;Directrice FRANCE;RODER;Friederike;87;RODER Friederike
166;M;Président;COLON;David;88;COLON David
167;M;Vice-président Trésorier;LAPLAUD;Christian;88;LAPLAUD Christian
168;M;Vice-Président Secrétaire;MOMOT;Antoine;88;MOMOT Antoine
169;MME;Présidente;AUZIMOUR;Catherine;89;AUZIMOUR Catherine
170;M;Directeur Général;PROST;Pierre-Louis;89;PROST Pierre-Louis
171;M;Président;DE ROYER;Gaëtan;90;DE ROYER Gaëtan
172;M;President;GAMBIA;Ruvie;91;GAMBIA Ruvie
173;M;Delegue General;PRADIER;Vincent;91;PRADIER Vincent
174;M;Directeur général;BOUDRE;Paul;92;BOUDRE Paul
175;M;Président;DEBIESSE;François;93;DEBIESSE François
176;MME;Déléguée générale;PARRIAUX;Sylvaine;93;PARRIAUX Sylvaine
177;M;PRESIDENT;SOCCOL;Brice;94;SOCCOL Brice
178;M;Président;DECAUX;Jean-Charles;95;DECAUX Jean-Charles
179;M;PRESIDENT;HUET;Roberto;96;HUET Roberto
180;MME;Présidente;TEYSSEDRE;Christel;97;TEYSSEDRE Christel
181;M;Président;VAN DE MAELE;Philippe;98;VAN DE MAELE Philippe
182;MME;Directrice;PERRISSIN-FABERT;Anne-Sophie;98;PERRISSIN-FABERT Anne-Sophie
183;M;Président;STALTER;Bernard;99;STALTER Bernard
184;M;Secrétaire général - Directeur des Services;KLEIN;Dominique;99;KLEIN Dominique
185;MME;Présidente, administrateur;BERTÉ;Audrey;100;BERTÉ Audrey
186;M;Administrateur;LE BIHAN;Yves;100;LE BIHAN Yves
187;M;Président;CHEMIN;Jean-Louis;101;CHEMIN Jean-Louis
188;M;Président;AUDIGE;Philippe;102;AUDIGE Philippe
189;M;Président;COUSIN;Régis;103;COUSIN Régis
190;MME;Déléguée Générale;BÉGUÉ;Caroline;103;BÉGUÉ Caroline
191;MME;PDG;DARRIEUTORT;Marion;104;DARRIEUTORT Marion
192;M;Directeur Général;RABY;Jean;105;RABY Jean
193;M;Président;ROQUEFEUL;Thierry;106;ROQUEFEUL Thierry
194;M;Directeur;BRACK;Vincent;106;BRACK Vincent
195;M;Président France;LELOUCHE;Erick;107;LELOUCHE Erick
196;M;Directeur Général Boehringer Ingelheim France;SCHEFTSIK DE SZOLNOK;Jean;107;SCHEFTSIK DE SZOLNOK Jean
197;M;Directeur General (CEO);MEEK;David;108;MEEK David
198;MME;Directeur general -pharmacien responsable;GREGOIRE;Sylvie;108;GREGOIRE Sylvie
199;M;Directeur general;GARNIER;François;108;GARNIER François
200;M;Directeur general;LE CHATELIER;Aymeric;108;LE CHATELIER Aymeric
201;M;Directeur general;HENNION;Benoit;108;HENNION Benoit
202;M;Directeur general;SEMERJIAN;Harout;108;SEMERJIAN Harout
203;M;Directeur general;VERON;Didier;108;VERON Didier
204;M;Directeur general;BARNSLEY;Jonathan;108;BARNSLEY Jonathan
205;M;TRESORIER;RAGUIN;Cedric;109;RAGUIN Cedric
206;M;PRESIDENT;BILLET;Maxime;109;BILLET Maxime
207;M;VICE PRESIDENT INSTALLATION;DEFOND;Jeremy;109;DEFOND Jeremy
208;M;ADMINISTRATEUR;BARILLET;Gaby;109;BARILLET Gaby
209;M;ADMINISTRATEUR;BARON;Pascal;109;BARON Pascal
210;M;ADMINISTRATEUR;MAUPOINT;Xavier;109;MAUPOINT Xavier
211;M;Président;DUHAUPAND;Didier;110;DUHAUPAND Didier
212;M;Délégué Général;VERITE;Hugues;111;VERITE Hugues
213;M;Président;DE MAISTRE;Hervé;111;DE MAISTRE Hervé
214;M;Directeur Général;MESSAGER;François;112;MESSAGER François
215;M;Président et Co-fondateur;LEANDRI;Eric;112;LEANDRI Eric
216;M;Président;JOUGLA;Philippe;113;JOUGLA Philippe
217;M;Secrétaire Général;VIGUIER;Laurent;113;VIGUIER Laurent
218;M;Secrétaire Général;MARLOT;Ludovic;113;MARLOT Ludovic
219;MME;Vice-PRésidente;BRUEL;Marie-Line;113;BRUEL Marie-Line
220;M;Vice-Président;HUC;Jean-Claude;113;HUC Jean-Claude
221;M;Vice-Président;ZANCHETTA;Arcangelo;113;ZANCHETTA Arcangelo
222;M;Vice-Président;CARCENAC;Cédric;113;CARCENAC Cédric
223;M;Trésorier;LANNES;Jean-Pierre;113;LANNES Jean-Pierre
224;M;Trésorier-adjoint;GLEIZES;Alexandre;113;GLEIZES Alexandre
225;M;Secrétaire général adjoint;VAUTE;Cédric;113;VAUTE Cédric
226;MME;Secrétaire général adjointe;GRANIER;Isabelle;113;GRANIER Isabelle
227;M;Membre;NOUVEL;Alain;113;NOUVEL Alain
228;M;Membre;BASCOUL;Eric;113;BASCOUL Eric
229;M;Membre;FLORENCHIE;Frederic;113;FLORENCHIE Frederic
230;M;Membre;ROUQUETTE;Francis;113;ROUQUETTE Francis
231;M;Membre;CAVAILLE;Patrick;113;CAVAILLE Patrick
232;M;Membre;VINCENS;Pierre;113;VINCENS Pierre
233;MME;Directeur associé;ROBIC;Khristelle;114;ROBIC Khristelle
234;M;Dirigeant;CAMBON;François;115;CAMBON François
235;MME;Directeur de la Communication et du Développement Durable;DE CHASSEY;Virginie;116;DE CHASSEY Virginie
236;M;Directeur des Ressources humaines;CARNEC;Michel;116;CARNEC Michel
237;M;Directeur Général Adjoint, en charge des Finances;DEVEDJIAN;Thomas;116;DEVEDJIAN Thomas
238;MME;Président Directeur Général;BORIES;Christel;116;BORIES Christel
239;M;Directeur de la Stratégie et de la Communication financière;GUNDERMAN;Philippe;116;GUNDERMAN Philippe
240;M;Directeur Juridique Groupe;DE L'HERMITE;Jean;116;DE L'HERMITE Jean
241;M;Directeur Général Adjoint, en charge des branches minières;SILVA;Kléber;116;SILVA Kléber
242;M;Directeur Général Adjoint, en charge de la branche Alliages;FABRE;Jérôme;116;FABRE Jérôme
243;M;Président;COUE;Thierry;117;COUE Thierry
244;M;Président;LOTTEAU;Laurent;118;LOTTEAU Laurent
245;MME;Présidente;DETRY;Elisabeth;119;DETRY Elisabeth
246;M;Secrétaire général;GRAVELINE;Michel;119;GRAVELINE Michel
247;M;Président;FENECH;Georges;120;FENECH Georges
248;MME;Présidente;BOUILHAGUET;Emmanuelle;121;BOUILHAGUET Emmanuelle
249;M;Président;LOPEZ;Jérôme;122;LOPEZ Jérôme
250;MME;Secrétaire Générale;PELLAT-FINET;Sylvie;122;PELLAT-FINET Sylvie
251;M;Président du Directoire;SAADA;Maxime;123;SAADA Maxime
252;M;PRESIDENT;TREMEAU;Jeremy;124;TREMEAU Jeremy
253;M;Président;ROBARDEY;Philippe;125;ROBARDEY Philippe
254;MME;Directeur général;DARRE;Pascale;125;DARRE Pascale
255;MME;1ère Vice-présidente;DEQUE;Anouk;125;DEQUE Anouk
256;MME;Trésorière;GOUDAL;Marie-Pascale;125;GOUDAL Marie-Pascale
257;M;Trésorier adjoint;FALCOU;Patrice;125;FALCOU Patrice
258;M;Vice-Président 2ème Secrétaire;COHADE;Patrice;125;COHADE Patrice
259;M;Vice-Président;DI CRESCENZO;Alain;125;DI CRESCENZO Alain
260;M;Vice-Président;DUMAS;Thierry;125;DUMAS Thierry
261;M;Vice-Président;PIEDRAFITA;Patrick;125;PIEDRAFITA Patrick
262;MME;Vice-Présidente 1ère Secrétaire;DORET;Sylvie;125;DORET Sylvie
263;M;Président;LABBEZ;Guillaume;126;LABBEZ Guillaume
264;MME;Président;SAMOJEDNIK;Anita;127;SAMOJEDNIK Anita
265;M;Directeur Général;SCHMITZ;Damien;127;SCHMITZ Damien
266;M;Président;VINCENT;Gilles;128;VINCENT Gilles
267;MME;Avocate;MONEL;Clémence;129;MONEL Clémence
268;MME;PRESIDENTE;DE VILLIERS DE LA NOUE;Juliette;130;DE VILLIERS DE LA NOUE Juliette
269;M;Président;BOISNON;Thierry;131;BOISNON Thierry
270;M;Président;SCELLES;Patrick;132;SCELLES Patrick
271;M;Vice-président;DUTHILLEUX;Didier;132;DUTHILLEUX Didier
272;M;Vice-président;DE MOL;Guy;132;DE MOL Guy
273;M;Trésorier;MURE;Frédéric;132;MURE Frédéric
274;M;Vice-Président;CRAYE;Etienne;133;CRAYE Etienne
275;M;Président;NICOLLE;Jean-Michel;133;NICOLLE Jean-Michel
276;MME;Vice-Présidente;DARMON;Florence;133;DARMON Florence
277;M;Vice-Président;BECARD;Francis;133;BECARD Francis
278;M;General Manager;BAKKER;Richard;134;BAKKER Richard
279;M;Directeur Général et Président du directoire d'Euronext;BOUJNAH;Stéphane;135;BOUJNAH Stéphane
280;M;Directeur Général et Président du conseil d'administration d'Euronext Paris;ATTIA;Anthony;135;ATTIA Anthony
281;M;Administrateur;GAYOU;David;136;GAYOU David
282;M;Administrateur;JOYARD;Nicolas;136;JOYARD Nicolas
283;M;Administrateur;MORLIER;Tangui;136;MORLIER Tangui
284;MME;Administrateur;VERGNOLLE;Suzanne;136;VERGNOLLE Suzanne
285;M;Administrateur;OOGHE-TABANOU;Benjamin;136;OOGHE-TABANOU Benjamin
286;M;Directeur Général Délégué;TREMBLAY;Marc;137;TREMBLAY Marc
287;M;Président du Conseil d'Administration;BOURRISSOUX;Louis;137;BOURRISSOUX Louis
288;M;Directeur Général;LEDEMAY;Alain;137;LEDEMAY Alain
289;MME;Présidente;PATY;Anne-Laure;138;PATY Anne-Laure
290;MME;Directrice;BERLINGEN;Flore;138;BERLINGEN Flore
291;M;Président;BETOUX;François-Xavier;139;BETOUX François-Xavier
292;MME;Directrice Générale;MORET;Isabelle;140;MORET Isabelle
293;M;PRESIDENT;THEVENET;Regis;141;THEVENET Regis
294;MME;Présidente;PAIRAULT-MEYZER;Michèle;142;PAIRAULT-MEYZER Michèle
295;M;Directeur;STOFER;Etienne;142;STOFER Etienne
296;M;Président;STAHN;Carsten;143;STAHN Carsten
297;M;TRESORIER;CAUQUY;Dominique;144;CAUQUY Dominique
298;M;PRESIDENT;FONTENAT;Patrice;144;FONTENAT Patrice
299;MME;Co-présidente;LEPAGE;Corinne;145;LEPAGE Corinne
300;MME;Co-présidente;MAESTRONI;Myriam;145;MAESTRONI Myriam
301;M;Trésorier;RIBAULT;Romuald;145;RIBAULT Romuald
302;M;Directeur général;DRIDA;Mathieu;146;DRIDA Mathieu
303;M;Président;TJARNSTROM;Erik Gustav Henrik;146;TJARNSTROM Erik Gustav Henrik
304;M;President;CACHAN;Eric;147;CACHAN Eric
305;M;Administrateur Directeur Général Délégué;BELLAFIORE;Jean-Marie;148;BELLAFIORE Jean-Marie
306;M;Administrateur Directeur Général;DAVID;Laurent;148;DAVID Laurent
307;MME;Présidente;FANDRE;Capucine;149;FANDRE Capucine
308;M;Directeur général;QUEMARD;Arnaud;150;QUEMARD Arnaud
309;M;Directeur général;LAMARQUE;Gilles;151;LAMARQUE Gilles
310;M;Directeur associé;DE ROMANCE;Timothé;151;DE ROMANCE Timothé
311;M;Président;RODRIGUEZ;Daniel;152;RODRIGUEZ Daniel
312;M;Président;RAVON;Dominique;153;RAVON Dominique
313;M;Délégué Général;REBOLLO;Hervé;154;REBOLLO Hervé
314;M;Président;VERNAZZA;Alexandre-Jacques;154;VERNAZZA Alexandre-Jacques
315;M;Directeur Général;MARQUET;Nicolas;155;MARQUET Nicolas
316;M;Président;ROTH;Guillaume;155;ROTH Guillaume
317;M;Associé;MORET-BAILLY;Joël;156;MORET-BAILLY Joël
318;M;President;DE DURAT;Guillaume;157;DE DURAT Guillaume
319;M;Président;MAILLARD;Philippe;158;MAILLARD Philippe
320;MME;Déléguée Générale;OLIVIER;Muriel;158;OLIVIER Muriel
321;MME;Présidente;AUTISSIER;Isabelle;159;AUTISSIER Isabelle
322;M;PRESIDENT;BOURY;Paul;160;BOURY Paul
323;M;DIRECTEUR GENERAL;TALLON;Pascal;160;TALLON Pascal
324;M;Président;ROGER;Stephane;161;ROGER Stephane
325;MME;Directeur général;DUFOURMENTELLE;Juliette;161;DUFOURMENTELLE Juliette
326;M;Directeur Général;LEROY;Thomas;162;LEROY Thomas
327;M;Président;QUINTANA;Philippe;162;QUINTANA Philippe
328;M;Président;GRANDJEAN;Olivier;163;GRANDJEAN Olivier
329;M;Président;PEUGEOT;Christian;164;PEUGEOT Christian
330;M;Président exécutif;LÉONARDUZZI;Clément;165;LÉONARDUZZI Clément
331;MME;Vice-présidente;GROS;Catherine;165;GROS Catherine
332;M;Directeur Général Délégué;DU SAILLANT;Paul;166;DU SAILLANT Paul
333;M;Directeur Général;VACHEROT;Laurent;166;VACHEROT Laurent
334;M;Président;STALTER;Bernard;167;STALTER Bernard
335;M;Secrétaire Général;GASSMANN;Claude;167;GASSMANN Claude
336;M;Directeur;VAUCELLE;Aurélien;168;VAUCELLE Aurélien
337;M;Président;JOUANNY;Philippe;169;JOUANNY Philippe
338;MME;Directeur général;SINTES;Carole;169;SINTES Carole
339;M;Directeur Général;LESIEUR;Jacques;170;LESIEUR Jacques
340;M;Président;SAVARINO;Jean-Pierre;170;SAVARINO Jean-Pierre
341;M;PDG;CHUPOT;Christophe;171;CHUPOT Christophe
342;MME;Présidente;FAYET;Véronique;172;FAYET Véronique
343;M;Secrétaire général;THIBAUD;Bernard;172;THIBAUD Bernard
344;M;Avocat - Gérant;CHARAT;Thomas;173;CHARAT Thomas
345;M;Directeur général;RIAHI;François;174;RIAHI François
346;M;Président;SAHUN;Carlos;175;SAHUN Carlos
347;M;Directeur;THEPOT;Yann;175;THEPOT Yann
348;MME;Présidente de la CSDEM;METZ;Juliette;176;METZ Juliette
349;MME;Président;BARREAU;Stéphanie;177;BARREAU Stéphanie
350;M;Directeur Général;KNOCHE;Philippe;178;KNOCHE Philippe
351;M;Président du Conseil d'administration;VARIN;Philippe;178;VARIN Philippe
352;M;PRESIDENT;PONCET;Sebastien;179;PONCET Sebastien
353;M;Président;VERSAVAU-MANDRON;Fabien;180;VERSAVAU-MANDRON Fabien
354;M;Président;CHAMBEAU;Frédéric;181;CHAMBEAU Frédéric
355;MME;Présidente;ARBIB;Sihame;182;ARBIB Sihame
356;M;Directeur des affaires publiques, communication, associé;MALACHE;Abdenabi;182;MALACHE Abdenabi
357;M;président directeur général;SIRET;Jean-Paul;183;SIRET Jean-Paul
358;M;directeur général délégué;BILLARD;Damien;183;BILLARD Damien
359;M;directeur général délégué;SIRET;Willy;183;SIRET Willy
360;M;Président;MILLET;Matthieu;184;MILLET Matthieu
361;M;Directeur général;DEMURGER;Pascal;185;DEMURGER Pascal
362;M;Executive Director;FOERSTER;Karl;186;FOERSTER Karl
363;M;Directeur général Région Ouest Europe;QUENET;Eric;186;QUENET Eric
364;M;Directeur Général;DESVEAUX;Benoît;187;DESVEAUX Benoît
365;M;Président Directeur Général;VAN ZYL;Johan;188;VAN ZYL Johan
366;M;Président;HEIMBURGER;Jean-Luc;189;HEIMBURGER Jean-Luc
367;M;Président;VUILLIER;Nicolas;190;VUILLIER Nicolas
368;M;Président du conseil d'administration;GIUSTRA;Robert;191;GIUSTRA Robert
369;M;Président directeur général;LEFRANÇOIS;Rock;191;LEFRANÇOIS Rock
370;MME;Présidente;GUIZOUARN;Kristell;192;GUIZOUARN Kristell
371;M;Président;PIC;Jean-Christophe;193;PIC Jean-Christophe
372;MME;Déléguée Générale;BERTHELOT;Florence;193;BERTHELOT Florence
373;M;Président;SHAPIRO;Maurice;194;SHAPIRO Maurice
374;M;Directeur Général;PAILLIART;Philippe;194;PAILLIART Philippe
375;MME;Déléguée aux affaires publiques et à la communication;SABOURIN;Florence;195;SABOURIN Florence
376;M;Président;DE LAIGUE;Bruno;195;DE LAIGUE Bruno
377;M;Président de la LNB;BÉRAL;Alain;196;BÉRAL Alain
