;secteur_activite;representants_id
407;Pouvoirs publics, institutions, fonction publique;95
408;Concurrence, consommation;96
409;Economie;96
410;Energie;96
411;Recherche, innovation;96
412;Fiscalité, finances publiques;96
413;Environnement;96
414;Logement, aménagement du territoire, urbanisme;96
415;Pouvoirs publics, institutions, fonction publique;96
416;Santé, sécurité sociale;96
417;Questions de société;96
418;Transports, logistique;96
419;Agriculture, alimentation, pêche;97
420;Concurrence, consommation;97
421;Economie;97
422;Travail, emploi, solidarité;97
423;Environnement;97
424;Affaires étrangères, coopération internationale;98
425;Energie;98
426;Recherche, innovation;98
427;Environnement;98
428;Logement, aménagement du territoire, urbanisme;98
429;Economie;99
430;Education, enseignement supérieur, formation;99
431;Travail, emploi, solidarité;99
432;Pouvoirs publics, institutions, fonction publique;99
433;Professions réglementées;99
434;Education, enseignement supérieur, formation;100
435;Travail, emploi, solidarité;100
436;Justice;100
437;Santé, sécurité sociale;100
438;Travail, emploi, solidarité;101
439;Energie;101
440;Environnement;101
441;Travail, emploi, solidarité;102
442;Fiscalité, finances publiques;102
443;Gouvernance d’entreprise;102
444;Logement, aménagement du territoire, urbanisme;102
445;Sports, loisirs, tourisme;102
446;Concurrence, consommation;103
447;Défense, sécurité;103
448;Economie;103
449;Environnement;103
450;Pouvoirs publics, institutions, fonction publique;103
451;Agriculture, alimentation, pêche;104
452;Commerce extérieur;104
453;Concurrence, consommation;104
454;Economie;104
455;Education, enseignement supérieur, formation;104
456;Travail, emploi, solidarité;104
457;Energie;104
458;Recherche, innovation;104
459;Fiscalité, finances publiques;104
460;Gouvernance d’entreprise;104
461;Environnement;104
462;Numérique;104
463;Professions réglementées;104
464;Questions migratoires;104
465;Santé, sécurité sociale;104
466;Questions de société;104
467;Sports, loisirs, tourisme;104
468;Transports, logistique;104
469;Banques, assurances, secteur financier;105
470;Agriculture, alimentation, pêche;106
471;Commerce extérieur;106
472;Concurrence, consommation;106
473;Energie;106
474;Fiscalité, finances publiques;106
475;Environnement;106
476;Pouvoirs publics, institutions, fonction publique;106
477;Agriculture, alimentation, pêche;107
478;Recherche, innovation;107
479;Fiscalité, finances publiques;107
480;Santé, sécurité sociale;107
481;Santé, sécurité sociale;108
482;Agriculture, alimentation, pêche;109
483;Agriculture, alimentation, pêche;110
484;Concurrence, consommation;110
485;Fiscalité, finances publiques;110
486;Logement, aménagement du territoire, urbanisme;110
487;Numérique;110
488;Logement, aménagement du territoire, urbanisme;111
489;Affaires étrangères, coopération internationale;112
490;Economie;112
491;Education, enseignement supérieur, formation;112
492;Numérique;112
493;Communications électroniques;112
494;Agriculture, alimentation, pêche;113
495;Economie;113
496;Travail, emploi, solidarité;113
497;Environnement;113
498;Questions de société;113
499;Agriculture, alimentation, pêche;114
500;Concurrence, consommation;114
501;Education, enseignement supérieur, formation;114
502;Environnement;114
503;Outre-mer;114
504;Agriculture, alimentation, pêche;115
505;Concurrence, consommation;115
506;Energie;115
507;Santé, sécurité sociale;115
508;Transports, logistique;115
509;Economie;116
510;Energie;116
511;Environnement;116
512;Outre-mer;116
513;Agriculture, alimentation, pêche;117
514;Agriculture, alimentation, pêche;118
515;Fiscalité, finances publiques;118
516;Environnement;118
517;Santé, sécurité sociale;118
518;Transports, logistique;118
519;Economie;119
520;Education, enseignement supérieur, formation;119
521;Travail, emploi, solidarité;119
522;Fiscalité, finances publiques;119
523;Logement, aménagement du territoire, urbanisme;119
524;Défense, sécurité;120
525;Justice;120
526;Médias, industries culturelles;120
527;Pouvoirs publics, institutions, fonction publique;120
528;Questions de société;120
529;Médias, industries culturelles;121
530;Economie;122
531;Education, enseignement supérieur, formation;122
532;Travail, emploi, solidarité;122
533;Fiscalité, finances publiques;122
534;Justice;122
535;Pouvoirs publics, institutions, fonction publique;122
536;Santé, sécurité sociale;122
537;Médias, industries culturelles;123
538;Numérique;123
539;Propriété intellectuelle;123
540;Agriculture, alimentation, pêche;124
541;Commerce extérieur;125
542;Economie;125
543;Recherche, innovation;125
544;Fiscalité, finances publiques;125
545;Gouvernance d’entreprise;125
546;Logement, aménagement du territoire, urbanisme;125
547;Numérique;125
548;Professions réglementées;125
549;Transports, logistique;125
550;Education, enseignement supérieur, formation;126
551;Energie;126
552;Fiscalité, finances publiques;126
553;Numérique;126
554;Concurrence, consommation;127
555;Economie;127
556;Numérique;127
557;Energie;128
558;Environnement;128
559;Energie;129
560;Environnement;129
561;Justice;129
562;Logement, aménagement du territoire, urbanisme;129
563;Pouvoirs publics, institutions, fonction publique;129
564;Sports, loisirs, tourisme;130
565;Recherche, innovation;131
566;Numérique;131
567;Propriété intellectuelle;131
568;Communications électroniques;131
569;Travail, emploi, solidarité;132
570;Recherche, innovation;132
571;Logement, aménagement du territoire, urbanisme;132
572;Education, enseignement supérieur, formation;133
573;Travail, emploi, solidarité;133
574;Recherche, innovation;133
575;Fiscalité, finances publiques;133
576;Logement, aménagement du territoire, urbanisme;133
577;Affaires étrangères, coopération internationale;134
578;Fiscalité, finances publiques;134
579;Propriété intellectuelle;134
580;Santé, sécurité sociale;134
581;Banques, assurances, secteur financier;135
582;Fiscalité, finances publiques;135
583;Recherche, innovation;136
584;Justice;136
585;Numérique;136
586;Pouvoirs publics, institutions, fonction publique;136
587;Propriété intellectuelle;136
588;Banques, assurances, secteur financier;137
589;Logement, aménagement du territoire, urbanisme;137
590;Professions réglementées;137
591;Concurrence, consommation;138
592;Fiscalité, finances publiques;138
593;Environnement;138
594;Sports, loisirs, tourisme;138
595;Médias, industries culturelles;139
596;Pouvoirs publics, institutions, fonction publique;139
597;Affaires étrangères, coopération internationale;140
598;Questions de société;140
599;Logement, aménagement du territoire, urbanisme;141
600;Professions réglementées;141
601;Travail, emploi, solidarité;142
602;Transports, logistique;142
603;Agriculture, alimentation, pêche;143
604;Concurrence, consommation;143
605;Economie;143
606;Environnement;143
607;Transports, logistique;143
608;Pouvoirs publics, institutions, fonction publique;144
609;Affaires étrangères, coopération internationale;145
610;Agriculture, alimentation, pêche;145
611;Banques, assurances, secteur financier;145
612;Economie;145
613;Energie;145
614;Gouvernance d’entreprise;145
615;Environnement;145
616;Logement, aménagement du territoire, urbanisme;145
617;Médias, industries culturelles;145
618;Numérique;145
619;Santé, sécurité sociale;145
620;Questions de société;145
621;Transports, logistique;145
622;Concurrence, consommation;146
623;Fiscalité, finances publiques;146
624;Numérique;146
625;Agriculture, alimentation, pêche;147
626;Environnement;147
627;Banques, assurances, secteur financier;148
628;Concurrence, consommation;148
629;Gouvernance d’entreprise;148
630;Numérique;148
631;Communications électroniques;148
632;Agriculture, alimentation, pêche;149
633;Concurrence, consommation;149
634;Economie;149
635;Travail, emploi, solidarité;149
636;Energie;149
637;Recherche, innovation;149
638;Fiscalité, finances publiques;149
639;Environnement;149
640;Logement, aménagement du territoire, urbanisme;149
641;Numérique;149
642;Professions réglementées;149
643;Santé, sécurité sociale;149
644;Transports, logistique;149
645;Transports, logistique;150
646;Santé, sécurité sociale;151
647;Agriculture, alimentation, pêche;151
648;Energie;151
649;Environnement;151
650;Concurrence, consommation;151
651;Recherche, innovation;152
652;Justice;152
653;Numérique;152
654;Propriété intellectuelle;152
655;Santé, sécurité sociale;152
656;Education, enseignement supérieur, formation;153
657;Travail, emploi, solidarité;153
658;Economie;154
659;Logement, aménagement du territoire, urbanisme;154
660;Transports, logistique;154
661;Agriculture, alimentation, pêche;155
662;Arts, patrimoine culturel;155
663;Environnement;155
664;Sports, loisirs, tourisme;155
665;Professions réglementées;156
666;Défense, sécurité;157
667;Numérique;157
668;Pouvoirs publics, institutions, fonction publique;157
669;Propriété intellectuelle;157
670;Santé, sécurité sociale;157
671;Economie;158
672;Travail, emploi, solidarité;158
673;Energie;158
674;Fiscalité, finances publiques;158
675;Environnement;158
676;Affaires étrangères, coopération internationale;159
677;Agriculture, alimentation, pêche;159
678;Banques, assurances, secteur financier;159
679;Economie;159
680;Energie;159
681;Fiscalité, finances publiques;159
682;Environnement;159
683;Logement, aménagement du territoire, urbanisme;159
684;Numérique;159
685;Outre-mer;159
686;Pouvoirs publics, institutions, fonction publique;159
687;Transports, logistique;159
688;Economie;160
689;Fiscalité, finances publiques;160
690;Environnement;160
691;Numérique;160
692;Santé, sécurité sociale;160
693;Agriculture, alimentation, pêche;161
694;Travail, emploi, solidarité;161
695;Sports, loisirs, tourisme;162
696;Médias, industries culturelles;163
697;Concurrence, consommation;164
698;Economie;164
699;Environnement;164
700;Numérique;164
701;Transports, logistique;164
702;Agriculture, alimentation, pêche;165
703;Concurrence, consommation;165
704;Environnement;165
705;Logement, aménagement du territoire, urbanisme;165
706;Questions de société;165
707;Santé, sécurité sociale;166
708;Economie;167
709;Education, enseignement supérieur, formation;167
710;Travail, emploi, solidarité;167
711;Fiscalité, finances publiques;167
712;Logement, aménagement du territoire, urbanisme;167
713;Agriculture, alimentation, pêche;168
714;Economie;169
715;Education, enseignement supérieur, formation;169
716;Travail, emploi, solidarité;169
717;Fiscalité, finances publiques;169
718;Santé, sécurité sociale;169
719;Economie;170
720;Education, enseignement supérieur, formation;170
721;Logement, aménagement du territoire, urbanisme;170
722;Pouvoirs publics, institutions, fonction publique;170
723;Banques, assurances, secteur financier;171
724;Recherche, innovation;171
725;Médias, industries culturelles;171
726;Numérique;171
727;Propriété intellectuelle;171
728;Affaires étrangères, coopération internationale;172
729;Travail, emploi, solidarité;172
730;Environnement;172
731;Logement, aménagement du territoire, urbanisme;172
732;Questions migratoires;172
733;Santé, sécurité sociale;172
734;Questions de société;172
735;Agriculture, alimentation, pêche;173
736;Arts, patrimoine culturel;173
737;Banques, assurances, secteur financier;173
738;Concurrence, consommation;173
739;Economie;173
740;Education, enseignement supérieur, formation;173
741;Travail, emploi, solidarité;173
742;Energie;173
743;Recherche, innovation;173
744;Fiscalité, finances publiques;173
745;Gouvernance d’entreprise;173
746;Environnement;173
747;Justice;173
748;Logement, aménagement du territoire, urbanisme;173
749;Médias, industries culturelles;173
750;Numérique;173
751;Pouvoirs publics, institutions, fonction publique;173
752;Professions réglementées;173
753;Propriété intellectuelle;173
754;Santé, sécurité sociale;173
755;Questions de société;173
756;Sports, loisirs, tourisme;173
757;Communications électroniques;173
758;Transports, logistique;173
759;Banques, assurances, secteur financier;174
760;Logement, aménagement du territoire, urbanisme;175
761;Arts, patrimoine culturel;176
762;Médias, industries culturelles;176
763;Numérique;176
764;Propriété intellectuelle;176
765;Défense, sécurité;177
766;Energie;177
767;Environnement;177
768;Santé, sécurité sociale;177
769;Transports, logistique;177
770;Energie;178
771;Agriculture, alimentation, pêche;179
772;Concurrence, consommation;180
773;Recherche, innovation;180
774;Fiscalité, finances publiques;180
775;Médias, industries culturelles;180
776;Numérique;180
777;Propriété intellectuelle;180
778;Communications électroniques;180
779;Transports, logistique;180
780;Agriculture, alimentation, pêche;181
781;Economie;181
782;Travail, emploi, solidarité;181
783;Gouvernance d’entreprise;181
784;Affaires étrangères, coopération internationale;182
785;Recherche, innovation;182
786;Médias, industries culturelles;182
787;Numérique;182
788;Pouvoirs publics, institutions, fonction publique;182
789;Santé, sécurité sociale;183
790;Environnement;184
791;Numérique;184
792;Communications électroniques;184
793;Banques, assurances, secteur financier;185
794;Travail, emploi, solidarité;185
795;Fiscalité, finances publiques;185
796;Gouvernance d’entreprise;185
797;Numérique;185
798;Economie;186
799;Energie;186
800;Environnement;186
801;Santé, sécurité sociale;186
802;Questions de société;186
803;Agriculture, alimentation, pêche;187
804;Banques, assurances, secteur financier;187
805;Concurrence, consommation;187
806;Défense, sécurité;187
807;Energie;187
808;Recherche, innovation;187
809;Environnement;187
810;Logement, aménagement du territoire, urbanisme;187
811;Numérique;187
812;Pouvoirs publics, institutions, fonction publique;187
813;Santé, sécurité sociale;187
814;Transports, logistique;187
815;Energie;188
816;Recherche, innovation;188
817;Environnement;188
818;Logement, aménagement du territoire, urbanisme;188
819;Pouvoirs publics, institutions, fonction publique;188
820;Transports, logistique;188
821;Economie;189
822;Economie;190
823;Education, enseignement supérieur, formation;190
824;Travail, emploi, solidarité;190
825;Fiscalité, finances publiques;190
826;Environnement;190
827;Logement, aménagement du territoire, urbanisme;190
828;Pouvoirs publics, institutions, fonction publique;190
829;Transports, logistique;190
830;Outre-mer;191
831;Agriculture, alimentation, pêche;192
832;Economie;192
833;Energie;192
834;Environnement;192
835;Transports, logistique;192
836;Transports, logistique;193
837;Agriculture, alimentation, pêche;194
838;Energie;194
839;Environnement;194
840;Logement, aménagement du territoire, urbanisme;194
841;Santé, sécurité sociale;194
842;Banques, assurances, secteur financier;195
843;Economie;195
844;Education, enseignement supérieur, formation;195
845;Fiscalité, finances publiques;195
846;Gouvernance d’entreprise;195
847;Numérique;195
848;Pouvoirs publics, institutions, fonction publique;195
849;Professions réglementées;195
850;Economie;196
851;Education, enseignement supérieur, formation;196
852;Travail, emploi, solidarité;196
853;Fiscalité, finances publiques;196
854;Médias, industries culturelles;196
855;Numérique;196
856;Pouvoirs publics, institutions, fonction publique;196
857;Propriété intellectuelle;196
858;Santé, sécurité sociale;196
859;Sports, loisirs, tourisme;196
860;Agriculture, alimentation, pêche;197
861;Economie;197
862;Travail, emploi, solidarité;198
863;Logement, aménagement du territoire, urbanisme;198
864;Défense, sécurité;199
865;Energie;199
866;Numérique;199
867;Transports, logistique;199
868;Economie;199
869;Environnement;200
870;Logement, aménagement du territoire, urbanisme;200
871;Justice;201
872;Santé, sécurité sociale;201
873;Questions de société;201
874;Défense, sécurité;202
875;Recherche, innovation;202
876;Fiscalité, finances publiques;202
877;Numérique;202
878;Affaires étrangères, coopération internationale;203
879;Agriculture, alimentation, pêche;203
880;Commerce extérieur;203
881;Fiscalité, finances publiques;203
882;Santé, sécurité sociale;203
883;Arts, patrimoine culturel;204
884;Travail, emploi, solidarité;204
885;Environnement;204
886;Logement, aménagement du territoire, urbanisme;204
887;Sports, loisirs, tourisme;204
888;Recherche, innovation;205
889;Numérique;205
890;Concurrence, consommation;206
891;Economie;206
892;Médias, industries culturelles;206
893;Numérique;206
894;Communications électroniques;206
895;Professions réglementées;207
896;Agriculture, alimentation, pêche;208
897;Agriculture, alimentation, pêche;209
898;Banques, assurances, secteur financier;210
899;Professions réglementées;210
900;Education, enseignement supérieur, formation;211
901;Economie;212
902;Travail, emploi, solidarité;212
903;Numérique;212
904;Logement, aménagement du territoire, urbanisme;212
905;Pouvoirs publics, institutions, fonction publique;213
906;Questions de société;213
907;Sports, loisirs, tourisme;213
908;Environnement;214
909;Recherche, innovation;215
910;Santé, sécurité sociale;215
911;Affaires étrangères, coopération internationale;216
912;Economie;216
913;Education, enseignement supérieur, formation;216
914;Travail, emploi, solidarité;216
915;Professions réglementées;216
916;Travail, emploi, solidarité;217
917;Concurrence, consommation;218
918;Travail, emploi, solidarité;218
919;Fiscalité, finances publiques;218
920;Environnement;218
921;Santé, sécurité sociale;218
922;Commerce extérieur;219
923;Economie;219
924;Recherche, innovation;219
925;Environnement;219
926;Transports, logistique;219
927;Travail, emploi, solidarité;220
928;Professions réglementées;220
929;Sports, loisirs, tourisme;220
930;Transports, logistique;221
931;Agriculture, alimentation, pêche;222
932;Concurrence, consommation;222
933;Travail, emploi, solidarité;222
934;Environnement;222
935;Banques, assurances, secteur financier;223
936;Concurrence, consommation;223
937;Economie;223
938;Fiscalité, finances publiques;223
939;Propriété intellectuelle;223
940;Travail, emploi, solidarité;224
941;Environnement;224
942;Logement, aménagement du territoire, urbanisme;224
943;Transports, logistique;224
944;Economie;225
945;Education, enseignement supérieur, formation;225
946;Logement, aménagement du territoire, urbanisme;225
947;Numérique;225
948;Défense, sécurité;226
949;Travail, emploi, solidarité;226
950;Outre-mer;226
951;Questions migratoires;226
952;Santé, sécurité sociale;226
953;Banques, assurances, secteur financier;227
954;Affaires étrangères, coopération internationale;228
955;Agriculture, alimentation, pêche;228
956;Défense, sécurité;228
957;Energie;228
958;Santé, sécurité sociale;228
959;Commerce extérieur;229
960;Concurrence, consommation;229
961;Economie;229
962;Education, enseignement supérieur, formation;229
963;Travail, emploi, solidarité;229
964;Energie;229
