;domaines_intervention_actions_menees;activite_id
123;Egalité des chances;71
124;Education;72
125;Formation professionnelle;72
126;Famille;72
127;Egalité des chances;72
128;Taxes;73
129;Marché du numérique;73
130;Taxes;74
131;Marché du numérique;74
132;Marché du numérique;75
133;Tourisme/hôtellerie;76
134;Logement;76
135;Marché du numérique;76
136;Formation professionnelle;77
137;Taxes;78
138;Impôts;78
139;Taxes;79
140;Impôts;79
141;Taxes;80
142;Impôts;80
143;Taxes;81
144;Impôts;81
145;Taxes;82
146;Impôts;82
147;Taxes;83
148;Impôts;83
149;Taxes;84
150;Impôts;84
151;Taxes;85
152;Impôts;85
153;Taxes;86
154;Impôts;86
155;Taxes;87
156;Impôts;87
157;Transport de fret;88
158;Impact des transports marchands et collectifs;88
159;Transport de fret;89
160;Droit du travail;89
161;Institutions européennes;89
162;Impact des transports marchands et collectifs;89
163;Accords internationaux;89
164;Taxes;90
165;Politique industrielle;90
166;Collectivités territoriales;90
167;Infrastructures;90
168;Taxes;91
169;Transport de fret;91
170;Impact des transports marchands et collectifs;91
171;Sécurité routière;91
172;Infrastructures;91
173;Retraites;92
174;Transport de fret;92
175;Marchés réglementés;93
176;Agriculture;93
177;Agriculture;94
178;Agriculture;95
179;Taxes;96
180;Agriculture;96
181;Budget;96
182;Impôts;97
183;Agriculture;97
184;Professions réglementées;98
185;Médicaments;98
186;Système de santé et médico-social;98
187;E-commerce;98
188;Prévention;99
189;Soins et maladies;99
190;Système de santé et médico-social;99
191;Protection des données;99
192;Professions réglementées;100
193;Système de santé et médico-social;100
194;Médicaments;101
195;Système de santé et médico-social;101
196;Soins et maladies;102
197;Système de santé et médico-social;102
198;Bâtiments et travaux publics;103
199;Logement;103
200;Construction;103
201;Bâtiments et travaux publics;104
202;Logement;104
203;Bâtiments et travaux publics;105
204;Logement;106
205;Budget;106
206;Bâtiments et travaux publics;107
207;Logement;107
208;Construction;107
209;Budget;107
210;PME/TPE;108
211;Bâtiments et travaux publics;108
212;Bâtiments et travaux publics;109
213;Construction;109
214;Bâtiments et travaux publics;110
215;Construction;110
216;Occupation des sols;111
217;Bâtiments et travaux publics;111
218;Logement;111
219;Construction;111
220;Bâtiments et travaux publics;112
221;Logement;112
222;Construction;112
223;Bâtiments et travaux publics;113
224;Logement;113
225;Construction;113
226;Taxes;114
227;Impôts;114
228;Bâtiments et travaux publics;114
229;Droit du travail;115
230;Bâtiments et travaux publics;115
231;Construction;115
232;Occupation des sols;116
233;Bâtiments et travaux publics;116
234;Logement;116
235;Construction;116
236;Budget;116
237;Bâtiments et travaux publics;117
238;Logement;118
239;Bâtiments et travaux publics;119
240;Taxes;120
241;Industrie agroalimentaire;120
242;Déchets;121
243;Industrie agroalimentaire;121
244;Industrie agroalimentaire;122
245;Déchets;123
246;Industrie agroalimentaire;123
247;Déchets;124
248;Industrie agroalimentaire;124
249;Industrie agroalimentaire;125
250;Industrie agroalimentaire;126
251;Accords internationaux;126
252;Déchets;127
253;Industrie agroalimentaire;127
254;Industrie agroalimentaire;128
255;Finances;129
256;Banques;129
257;Finances;130
258;Banques;130
259;Taxes;131
260;Budget;131
261;Taxes;132
262;Budget;132
263;Taxes;133
264;Impôts;133
265;Développement des territoires;133
266;Infrastructures;134
267;Taxes;135
268;Prévention;136
269;Soins et maladies;136
270;Remboursements;137
271;Prévention;137
272;Soins et maladies;137
273;Système de santé et médico-social;137
274;Remboursements;138
275;Prévention;138
276;Soins et maladies;138
277;Système de santé et médico-social;138
278;Remboursements;139
279;Prévention;139
280;Soins et maladies;139
281;Taxes;140
282;Remboursements;140
283;Soins et maladies;140
284;Système de santé et médico-social;140
285;Droit de la concurrence;141
286;Taxes;142
287;Impôts;142
288;PME/TPE;143
289;Taxes;144
290;Impôts;144
291;Taxes;145
292;Impôts;145
293;PME/TPE;146
294;Aides aux entreprises;146
295;E-commerce;146
296;Droit de la concurrence;147
297;PME/TPE;147
298;Taxes;148
299;Impôts;148
300;Taxes;149
301;Impôts;149
302;PME/TPE;150
303;PME/TPE;151
304;PME/TPE;152
305;Aides aux entreprises;152
306;E-commerce;152
307;PME/TPE;153
308;Aides aux entreprises;153
309;E-commerce;153
310;Droit de la concurrence;154
311;PME/TPE;154
312;Droit de la concurrence;155
313;PME/TPE;155
314;Taxes;156
315;Impôts;156
316;PME/TPE;157
317;Taxes;158
318;Impôts;158
319;Taxes;159
320;Impôts;159
321;E-commerce;159
322;PME/TPE;160
323;PME/TPE;161
324;PME/TPE;162
325;Aides aux entreprises;162
326;PME/TPE;163
327;PME/TPE;164
328;Taxes;165
329;Impôts;165
330;PME/TPE;166
331;PME/TPE;167
332;PME/TPE;168
333;PME/TPE;169
334;Finances;170
335;PME/TPE;171
336;PME/TPE;172
337;PME/TPE;173
338;Taxes;174
339;Impôts;174
340;Droit de la concurrence;175
341;PME/TPE;176
342;Taxes;177
343;Collectivités territoriales;177
344;Développement des territoires;177
345;Sécurité routière;177
346;Infrastructures;177
347;Développement économique des outre-mer;178
348;Ressources minières;178
349;Développement économique des outre-mer;179
350;Ressources minières;179
351;PME/TPE;180
352;PME/TPE;181
353;PME/TPE;182
354;PME/TPE;183
355;PME/TPE;184
356;Droit de la concurrence;185
357;PME/TPE;186
358;PME/TPE;187
359;PME/TPE;188
360;PME/TPE;189
361;PME/TPE;190
362;PME/TPE;191
363;PME/TPE;192
364;PME/TPE;193
365;PME/TPE;194
366;PME/TPE;195
367;PME/TPE;196
368;Institutions européennes;197
369;Agriculture;197
370;Taxes;198
371;Impôts;198
372;Agriculture;198
373;Budget;198
374;Taxes;199
375;Impôts;199
376;Agriculture;199
377;Forêt;200
378;Agriculture;200
379;Développement des territoires;201
380;Forêt;202
381;Agriculture;202
382;Forêt;203
383;Agriculture;203
384;Forêt;204
385;Agriculture;204
386;Impôts;205
387;PME/TPE;205
388;Agriculture;205
389;PME/TPE;206
390;Forêt;206
391;Développement des territoires;206
392;Agriculture;206
393;Remboursements;207
394;Humanitaire;208
395;Aide au développement;208
396;Egalité femmes/hommes;208
397;Aide au développement;209
398;Egalité femmes/hommes;209
399;Aide au développement;210
400;Egalité femmes/hommes;210
401;Budget;210
402;Humanitaire;211
403;Aide au développement;211
404;Asile;212
405;Système de santé et médico-social;212
406;Immigration;212
407;Système de santé et médico-social;213
408;Asile;214
409;Immigration;214
410;Asile;215
411;Immigration;215
412;Aide au développement;216
413;Egalité femmes/hommes;216
414;Humanitaire;217
415;Aide au développement;218
416;Egalité femmes/hommes;218
417;Budget;218
418;Humanitaire;219
419;Budget;219
420;Système de santé et médico-social;220
421;Asile;221
422;Immigration;221
423;Système de santé et médico-social;222
424;Asile;223
425;Immigration;223
426;Déchets;224
427;Politique industrielle;225
428;Droit du travail;226
429;Droit du travail;227
430;Formation professionnelle;227
431;Taxes;228
432;Impôts;228
433;Politique industrielle;228
434;Budget;228
435;Taxes;229
436;Budget;229
437;Dialogue social;230
438;Droit du travail;230
439;Agriculture;231
440;Agriculture;232
441;Agriculture;233
442;Agriculture;234
443;Agriculture;235
444;Agriculture;236
445;Bâtiments et travaux publics;237
446;Logement;237
447;Logement;238
448;Politique industrielle;239
449;Impact de l'activité industrielle;239
450;Ressources minières;239
451;Politique industrielle;240
452;Impact de l'activité industrielle;240
453;Ressources minières;240
454;Bâtiments et travaux publics;241
455;Logement;241
456;Agriculture;242
457;Prévention;243
458;Industrie agroalimentaire;243
459;Sécurité et normes alimentaires;244
460;Appellations;244
461;Industrie agroalimentaire;244
462;Agriculture;244
463;Bâtiments et travaux publics;245
464;Logement;245
465;Bâtiments et travaux publics;246
466;Logement;246
467;Bâtiments et travaux publics;247
468;Logement;247
469;Politique industrielle;248
470;Impact de l'activité industrielle;248
471;Ressources minières;248
472;Industrie agroalimentaire;248
473;Politique industrielle;249
474;Impact de l'activité industrielle;249
475;Ressources minières;249
476;Industrie agroalimentaire;250
477;Prévention;251
478;Médicaments;251
479;Soins et maladies;251
480;Système de santé et médico-social;251
481;Prévention;252
482;Système de santé et médico-social;252
483;Prévention;253
484;Système de santé et médico-social;253
485;Prévention;254
486;Système de santé et médico-social;254
487;Prévention;255
488;Système de santé et médico-social;255
489;Education;256
490;Système de santé et médico-social;256
491;Système de santé et médico-social;257
492;Prévention;258
493;Système de santé et médico-social;258
494;Logement;259
495;Brevet;260
496;Recherche et innovation;260
497;Brevet;261
498;Recherche et innovation;261
499;Brevet;262
500;Recherche et innovation;262
501;Brevet;263
502;Recherche et innovation;263
503;Brevet;264
504;Recherche et innovation;264
505;Brevet;265
506;Recherche et innovation;265
507;Education;266
508;Formation professionnelle;266
509;Sports;266
510;Budget;266
511;Impôts;267
512;Budget;267
513;Logement;268
514;Construction;268
515;Taxes;269
516;Impôts;269
517;Logement;269
518;Construction;269
519;Budget;269
520;Logement;270
521;Construction;270
522;Logement;271
523;Construction;271
524;Finances;272
525;Logement;272
526;Construction;272
527;Impôts;273
528;Finances;274
529;Marchés réglementés;274
530;Logement;274
531;Construction;274
532;Finances;275
533;Construction;275
534;Système de santé et médico-social;276
535;Brevet;277
536;Politique industrielle;277
537;Impôts;278
538;Brevet;278
539;Politique industrielle;279
540;Impact de l'activité industrielle;280
541;Accès à l’Internet;281
542;Protection des données;281
543;Marché du numérique;281
544;E-commerce;281
545;Recherche et innovation;282
546;Collectivités territoriales;283
547;Retraites;284
548;Déchets;285
549;Taxes;286
550;Impôts;286
551;Budget;287
552;Produits chimiques;288
553;Défense;288
554;Sécurité nationale;288
555;Droit de la concurrence;289
556;Formation professionnelle;290
557;Formation professionnelle;291
558;Dialogue social;292
559;Taxes;293
560;Impôts;293
561;Collectivités territoriales;293
562;Déchets;294
563;Bâtiments et travaux publics;294
564;Construction;294
565;Droit de la concurrence;295
566;PME/TPE;295
567;Produits chimiques;296
568;Sécurité nationale;296
569;Cinéma;297
570;Système de santé et médico-social;298
571;Système de santé et médico-social;299
572;Système de santé et médico-social;300
573;Système de santé et médico-social;301
574;Système de santé et médico-social;302
575;Système de santé et médico-social;303
576;Système de santé et médico-social;304
577;Système de santé et médico-social;305
578;Système de santé et médico-social;306
579;Système de santé et médico-social;307
580;Système de santé et médico-social;308
581;Système de santé et médico-social;309
582;Système de santé et médico-social;310
583;Système de santé et médico-social;311
584;Système de santé et médico-social;312
585;Système de santé et médico-social;313
586;Impact de l'activité industrielle;314
587;Impact de l'activité industrielle;315
588;Système de santé et médico-social;316
589;Système de santé et médico-social;317
590;Impact de l'activité industrielle;318
591;Prévention;319
592;Système de santé et médico-social;320
593;Système de santé et médico-social;321
594;Banques;322
595;Education;323
596;Jeux-vidéo;324
597;Jeux-vidéo;325
598;Jeux-vidéo;326
599;Produits chimiques;327
600;Politique industrielle;327
601;Produits chimiques;328
602;Politique industrielle;328
603;Normes de production;329
604;Impôts;330
605;Droit du travail;331
606;Impôts;332
607;Impôts;333
608;Droit du travail;334
609;Droit du travail;335
610;Droit du travail;336
611;Impôts;337
612;Normes de production;338
613;Droit du travail;339
614;Droit du travail;340
615;Droit du travail;341
616;Droit du travail;342
617;Impôts;343
618;Impôts;344
619;Aide au développement;345
620;Egalité femmes/hommes;345
621;Droits et libertés fondamentales;346
622;Aide au développement;346
623;Education;347
624;Humanitaire;347
625;Aide au développement;347
626;Egalité femmes/hommes;347
627;Education;348
628;Formation professionnelle;348
629;Humanitaire;348
630;Aide au développement;348
631;Egalité femmes/hommes;348
632;Aide au développement;349
633;Education;350
634;Formation professionnelle;350
635;Humanitaire;350
636;Aide au développement;350
637;Egalité femmes/hommes;350
638;Aide au développement;351
639;Egalité femmes/hommes;351
640;Agriculture;352
641;Agriculture;353
642;Finances;354
643;Taxes;354
644;PME/TPE;354
645;Finances;355
646;Taxes;355
647;PME/TPE;355
648;PME/TPE;356
649;Formation professionnelle;356
650;PME/TPE;357
651;Formation professionnelle;357
652;PME/TPE;358
653;Formation professionnelle;358
654;Formation professionnelle;359
655;Formation professionnelle;360
656;Formation professionnelle;361
657;Formation professionnelle;362
658;Formation professionnelle;363
659;Formation professionnelle;364
660;Formation professionnelle;365
661;Formation professionnelle;366
662;Formation professionnelle;367
663;Finances;368
664;Assurances;368
665;Banques;368
666;PME/TPE;368
667;Formation professionnelle;369
668;Finances;370
669;Assurances;370
670;Banques;370
671;PME/TPE;370
672;Formation professionnelle;371
673;Finances;372
674;Assurances;372
675;Banques;372
676;PME/TPE;372
677;Formation professionnelle;373
678;Formation professionnelle;374
679;Formation professionnelle;375
680;Dialogue social;376
681;Finances;377
682;Taxes;377
683;PME/TPE;377
684;Finances;378
685;Taxes;378
686;PME/TPE;378
687;Finances;379
688;Taxes;379
689;PME/TPE;379
690;Finances;380
691;Taxes;380
692;PME/TPE;380
693;Finances;381
694;PME/TPE;381
695;Aides aux entreprises;381
696;Dialogue social;382
697;Collectivités territoriales;382
698;Finances;383
699;Taxes;383
700;PME/TPE;383
701;Finances;384
702;Taxes;384
703;PME/TPE;384
704;Droit du travail;385
705;Formation professionnelle;385
706;Dialogue social;386
707;Collectivités territoriales;386
708;PME/TPE;387
709;Formation professionnelle;387
710;Collectivités territoriales;387
711;Finances;388
712;Taxes;388
713;PME/TPE;388
714;PME/TPE;389
715;Formation professionnelle;389
716;Finances;390
717;PME/TPE;390
718;Aides aux entreprises;390
719;Finances;391
720;PME/TPE;391
721;Aides aux entreprises;391
722;Finances;392
723;PME/TPE;392
724;Aides aux entreprises;392
725;Retraites;393
726;Finances;394
727;PME/TPE;394
728;Aides aux entreprises;394
729;Dialogue social;395
730;PME/TPE;395
731;Formation professionnelle;395
732;Finances;396
733;PME/TPE;396
734;Aides aux entreprises;396
735;PME/TPE;397
736;Education;397
737;Formation professionnelle;397
738;Finances;398
739;PME/TPE;398
740;Aides aux entreprises;398
741;Dialogue social;399
742;Collectivités territoriales;399
743;Dialogue social;400
744;Collectivités territoriales;400
745;Taxes;401
746;PME/TPE;401
747;Budget;401
748;Dialogue social;402
749;Formation professionnelle;402
750;Dialogue social;403
751;Collectivités territoriales;403
752;Dialogue social;404
753;Collectivités territoriales;404
754;Taxes;405
755;PME/TPE;405
756;Budget;405
757;Dialogue social;406
758;Formation professionnelle;406
759;Budget;407
760;Taxes;408
761;PME/TPE;408
762;Budget;408
763;Dialogue social;409
764;Formation professionnelle;409
765;Dialogue social;410
766;Droit du travail;410
767;Dialogue social;411
768;Collectivités territoriales;411
769;Dialogue social;412
770;Droit du travail;412
771;Dialogue social;413
772;Collectivités territoriales;413
773;Dialogue social;414
774;Collectivités territoriales;414
775;Taxes;415
776;PME/TPE;415
777;Budget;415
778;Taxes;416
779;PME/TPE;416
780;Budget;416
781;Dialogue social;417
782;Collectivités territoriales;417
783;Dialogue social;418
784;Collectivités territoriales;418
785;Dialogue social;419
786;Collectivités territoriales;419
787;Dialogue social;420
788;Collectivités territoriales;420
789;Dialogue social;421
790;Collectivités territoriales;421
791;Dialogue social;422
792;Collectivités territoriales;422
793;Finances;423
794;Taxes;423
795;PME/TPE;423
796;Collectivités territoriales;423
797;Budget;423
798;PME/TPE;424
799;Formation professionnelle;424
800;Recherche et innovation;424
801;Budget;424
802;Dialogue social;425
803;Collectivités territoriales;425
804;Dialogue social;426
805;Collectivités territoriales;426
806;Dialogue social;427
807;Collectivités territoriales;427
808;Taxes;428
809;PME/TPE;428
810;Budget;428
811;Taxes;429
812;PME/TPE;429
813;Budget;429
814;Taxes;430
815;PME/TPE;430
816;Budget;430
817;Dialogue social;431
818;Droit du travail;431
819;Dialogue social;432
820;Collectivités territoriales;432
821;Dialogue social;433
822;Collectivités territoriales;433
823;Dialogue social;434
824;Collectivités territoriales;434
825;Taxes;435
826;PME/TPE;435
827;Collectivités territoriales;435
828;Budget;435
829;Dialogue social;436
830;Collectivités territoriales;436
831;Enseignement supérieur;437
832;Logement;438
833;Construction;438
834;Déchets;439
835;Déchets;440
836;Droit du travail;441
837;Transports alternatifs;441
838;Transports alternatifs;442
839;PME/TPE;443
840;Déchets;443
841;Sports;443
842;Politique industrielle;443
843;Impact de l'activité industrielle;443
844;Transports alternatifs;444
845;Aides aux entreprises;445
846;Sports;445
847;Budget;445
848;Transports alternatifs;446
849;Budget;446
850;Aides aux entreprises;447
851;Sports;447
852;Budget;447
853;Bâtiments et travaux publics;448
854;Sports;448
855;Budget;448
856;Droit de la concurrence;449
857;Sports;449
858;Politique industrielle;449
859;Accords internationaux;449
860;Taxes;450
861;PME/TPE;450
862;Sports;450
863;Politique industrielle;450
864;Collectivités territoriales;450
865;Dialogue social;451
866;PME/TPE;451
867;Droit du travail;451
868;Aides aux entreprises;451
869;Sports;451
870;Dialogue social;452
871;PME/TPE;452
872;Droit du travail;452
873;Aides aux entreprises;452
874;Formation professionnelle;452
875;PME/TPE;453
876;Education;453
877;Prévention;453
878;Sports;453
879;Collectivités territoriales;453
880;PME/TPE;454
881;Politique industrielle;454
882;Impact de l'activité industrielle;454
883;Développement des territoires;454
884;Accords internationaux;454
885;PME/TPE;455
886;Sports;455
887;Politique industrielle;455
888;Transports alternatifs;455
889;Budget;455
890;Sécurité routière;456
891;Sécurité routière;457
892;Droit du travail;458
893;Formation professionnelle;458
894;Politique industrielle;459
895;Dialogue social;460
896;Droit du travail;460
897;Droit du travail;461
898;Déchets;462
899;Déchets;463
900;Dialogue social;464
901;Droit du travail;464
902;Droit du travail;465
903;Formation professionnelle;465
904;Dialogue social;466
905;Droit du travail;466
906;Droit du travail;467
907;Formation professionnelle;467
908;Taxes;468
909;Principe de précaution;469
910;Taxes;470
911;Impôts;470
912;Politique industrielle;470
913;Budget;470
914;Dialogue social;471
915;Droit du travail;471
916;Impact de l'activité industrielle;472
917;Agriculture;473
918;Impôts;474
919;Agriculture;474
920;Justice civile;475
921;Agriculture;476
922;Agriculture;477
923;Taxes;478
924;Agriculture;479
925;Agriculture;480
926;Agriculture;481
927;Agriculture;482
928;Droit du travail;483
929;Agriculture;484
930;Impôts;485
931;Retraites;486
932;Energies renouvelables;487
933;Agriculture;487
934;Chasse;488
935;Agriculture;488
936;Chasse;489
937;Agriculture;489
938;Agriculture;490
939;Chasse;491
940;Agriculture;491
941;Agriculture;492
942;Agriculture;493
943;Agriculture;494
944;Agriculture;495
945;Agriculture;496
946;Développement des territoires;497
947;Agriculture;497
948;Qualité de l'eau;498
949;Agriculture;498
950;Produits chimiques;499
951;Agriculture;499
952;Accords internationaux;499
953;Retraites;500
954;Développement des territoires;500
955;Agriculture;500
956;Transport de voyageurs;501
957;Transport de fret;502
958;Infrastructures;503
959;Transport de fret;504
960;Transport de voyageurs;505
961;Transport de fret;506
962;Infrastructures;506
963;Transport de fret;507
964;Transport de voyageurs;507
965;Infrastructures;507
966;Transport de fret;508
967;Transport de fret;509
968;Transport de fret;510
969;Transport de voyageurs;510
970;Transport de voyageurs;511
971;Transport de fret;512
972;Transport de voyageurs;512
973;Transport de fret;513
974;Transport de voyageurs;514
975;Transport de fret;515
976;Transport de fret;516
977;Infrastructures;516
978;Transport de fret;517
979;Transport de fret;518
980;Infrastructures;519
981;Transport de voyageurs;520
982;Transport de fret;521
983;Transport de voyageurs;521
984;Infrastructures;521
985;Transport de fret;522
986;Transport de voyageurs;522
987;Infrastructures;522
988;Infrastructures;523
989;Transport de fret;524
990;Transport de voyageurs;524
991;Transport de fret;525
992;Transport de voyageurs;525
993;Aides aux entreprises;526
994;Aide au développement;527
995;Budget;527
996;Education;528
997;Partenariats public/privé;528
998;Aide au développement;528
999;Egalité femmes/hommes;528
1000;Budget;528
1001;Institutions européennes;529
1002;Aide au développement;529
1003;Budget;529
1004;Partenariats public/privé;530
1005;Institutions européennes;530
1006;Soins et maladies;530
1007;Système de santé et médico-social;530
1008;Budget;530
1009;Aide au développement;531
1010;Budget;531
1011;Aide au développement;532
1012;Budget;532
1013;Institutions européennes;533
1014;Aide au développement;533
1015;Budget;533
1016;Education;534
1017;Aide au développement;534
1018;Egalité femmes/hommes;534
1019;Budget;534
1020;Aide au développement;535
1021;Budget;535
1022;Aide au développement;536
1023;Budget;536
1024;Aide au développement;537
1025;Budget;537
1026;Politique industrielle;538
1027;Politique industrielle;539
1028;Accès à la culture;540
1029;Education;540
1030;Patrimoine;540
1031;Recherche et innovation;540
1032;Humanitaire;540
1033;Partenariats public/privé;541
1034;Politique industrielle;541
1035;Sécurité et normes alimentaires;541
1036;Industrie agroalimentaire;541
1037;Pêche;541
1038;Droit du travail;542
1039;Soins et maladies;542
1040;Système de santé et médico-social;542
1041;Industrie agroalimentaire;542
1042;Soins et maladies;543
1043;Industrie agroalimentaire;543
1044;Déchets;544
1045;Impact de l'activité industrielle;544
1046;Remboursements;545
1047;Prévention;545
1048;Médicaments;545
1049;Soins et maladies;545
1050;Système de santé et médico-social;545
1051;Moralisation/Transparence;546
1052;Collectivités territoriales;546
1053;Ordre administratif;546
1054;Transport de voyageurs;547
1055;Impact des transports individuels;547
1056;Impact des transports marchands et collectifs;547
1057;Politique industrielle;548
1058;Sécurité et normes alimentaires;548
1059;Appellations;548
1060;Industrie agroalimentaire;548
1061;Agriculture;548
1062;Remboursements;549
1063;Prévention;549
1064;Médicaments;549
1065;Soins et maladies;549
1066;Système de santé et médico-social;549
1067;Prévention;550
1068;Soins et maladies;550
1069;Système de santé et médico-social;550
1070;Occupation des sols;551
1071;Prévention;552
1072;Soins et maladies;552
1073;Système de santé et médico-social;552
1074;Produits chimiques;553
1075;Accès à la culture;554
1076;Spectacle vivant;554
1077;Patrimoine;554
1078;Aide au développement;554
1079;Budget;554
1080;Recherche et innovation;555
1081;Occupation des sols;556
1082;Soins et maladies;557
1083;Système de santé et médico-social;557
1084;Politique industrielle;558
1085;Impact de l'activité industrielle;558
1086;Recherche et innovation;558
1087;Politique industrielle;559
1088;Prévention;560
1089;Politique industrielle;561
1090;Politique industrielle;562
1091;Soins et maladies;563
1092;Aide au développement;564
1093;Impôts;565
1094;PME/TPE;565
1095;Partenariats public/privé;565
1096;Recherche et innovation;565
1097;Impôts;566
1098;PME/TPE;566
1099;Education;566
1100;Partenariats public/privé;566
1101;Recherche et innovation;566
1102;PME/TPE;567
1103;Accès à la culture;567
1104;Education;567
1105;Recherche et innovation;567
1106;Humanitaire;567
1107;Construction;568
1108;Déchets;569
1109;Bâtiments et travaux publics;570
1110;Budget;571
1111;Déchets;572
1112;PME/TPE;573
1113;PME/TPE;574
1114;Droit de la concurrence;575
1115;Impôts;575
1116;PME/TPE;575
1117;Droit du travail;575
1118;Droit de la concurrence;576
1119;Impôts;576
1120;PME/TPE;576
1121;Droit du travail;576
1122;Sécurité et normes alimentaires;576
1123;PME/TPE;577
1124;PME/TPE;578
1125;Développement des territoires;578
1126;Droit de la concurrence;579
1127;Impôts;579
1128;PME/TPE;579
1129;Droit du travail;579
1130;Développement des territoires;579
1131;Finances;580
1132;Taxes;580
1133;PME/TPE;580
1134;PME/TPE;581
1135;Droit de la concurrence;582
1136;Impôts;582
1137;PME/TPE;582
1138;Droit du travail;582
1139;Sécurité et normes alimentaires;582
1140;Droit de la concurrence;583
1141;Impôts;583
1142;PME/TPE;583
1143;Formation professionnelle;583
1144;Développement des territoires;583
1145;PME/TPE;584
1146;Aides aux entreprises;584
1147;Formation professionnelle;584
1148;Sécurité et normes alimentaires;584
1149;Développement des territoires;584
1150;Education;585
1151;Prévention;585
1152;Fonction publique;585
1153;Agriculture;586
1154;Taxes;587
1155;Sports;587
1156;Agriculture;587
1157;Agriculture;588
1158;Sécurité routière;588
1159;Agriculture;589
1160;Agriculture;590
1161;Sécurité routière;590
1162;Bien-être animal;591
1163;Agriculture;591
1164;Taxes;592
1165;Agriculture;592
1166;Bâtiments et travaux publics;593
1167;Logement;593
1168;Construction;593
1169;Accidents et catastrophes naturelles;593
1170;Bâtiments et travaux publics;594
1171;Logement;594
1172;Construction;594
1173;Accidents et catastrophes naturelles;594
1174;Bâtiments et travaux publics;595
1175;Logement;595
1176;Construction;595
1177;Accidents et catastrophes naturelles;595
1178;Bâtiments et travaux publics;596
1179;Logement;596
1180;Construction;596
1181;Accidents et catastrophes naturelles;596
1182;Bâtiments et travaux publics;597
1183;Logement;597
1184;Construction;597
1185;Bâtiments et travaux publics;598
1186;Logement;598
1187;Construction;598
1188;Accidents et catastrophes naturelles;598
1189;Bâtiments et travaux publics;599
1190;Logement;599
1191;Construction;599
1192;Accidents et catastrophes naturelles;599
1193;Bâtiments et travaux publics;600
1194;Logement;600
1195;Construction;600
1196;Accidents et catastrophes naturelles;600
1197;Bâtiments et travaux publics;601
1198;Logement;601
1199;Construction;601
1200;Accidents et catastrophes naturelles;601
1201;Bâtiments et travaux publics;602
1202;Logement;602
1203;Construction;602
1204;Accidents et catastrophes naturelles;602
1205;Energies renouvelables;603
1206;Déchets;604
1207;Impact de l'activité industrielle;604
1208;Industrie agroalimentaire;604
1209;Médicaments;605
1210;Système de santé et médico-social;605
1211;Recherche et innovation;605
