;civilite_collaborateur;fonction_collaborateur;nom_collaborateur;prenom_collaborateur;representants_id;nom_prenom_collaborateur
87;MME;Responsable Plaidoyer et Communication Régionale;ARNAULD DES LIONS;Nacéra;23;ARNAULD DES LIONS Nacéra
88;M;Directeur Général;JOUTEAU;Antoine;24;JOUTEAU Antoine
89;MME;Directrice Juridique;FOREST;Servane;24;FOREST Servane
90;M;Responsable des Affaires Publiques;JACQUES;Arnaud;24;JACQUES Arnaud
91;MME;;SERAFIN-MOURIAUX;Corine;25;SERAFIN-MOURIAUX Corine
92;MME;Communications Manager;BERGUE;Elvina;25;BERGUE Elvina
93;M;Communications Director;SPECQUE;Marc;25;SPECQUE Marc
94;M;;FERRAND;Rémi;26;FERRAND Rémi
95;MME;Directrice des Relations Publiques;CATEL;Florence;27;CATEL Florence
96;MME;Responsable Relations Institutionnelles;BINCKLI;Marine;27;BINCKLI Marine
97;M;Président;BORNHAUSER;Marc;28;BORNHAUSER Marc
98;MME;Directrice administrative;DERRIEN;Fabienne;28;DERRIEN Fabienne
99;M;;GRAVELLIER;Patrice;29;GRAVELLIER Patrice
100;M;Directeur EDT Pays de la Loire;BODIN;Freddy;30;BODIN Freddy
101;M;Assistant communication;GHISLAIN;Mathieu;30;GHISLAIN Mathieu
102;MME;Assistante administrative;GUERIN;Aurélie;30;GUERIN Aurélie
103;M;Chef de service;DE BAILLIENCOURT;Justin;31;DE BAILLIENCOURT Justin
104;MME;Assistante de Direction;BOCH;Celine;32;BOCH Celine
105;M;Secrétaire Général;HYRIEN;Pascal;32;HYRIEN Pascal
106;MME;Government Affairs;MARTIN SANCHO;Olga;33;MARTIN SANCHO Olga
107;MME;secrétaire générale;PATOUREL;Laurence;34;PATOUREL Laurence
108;M;;CANS;Denis;35;CANS Denis
109;MME;;ADAM;Béatrice;35;ADAM Béatrice
110;M;Directeur de la Communication et des Affaires Publiques;DEROBERT;Eric;36;DEROBERT Eric
111;MME;Conseiller en Affaires Publiques;MEZIANI;Eliane;36;MEZIANI Eliane
112;M;Conseiller en Affaires Publiques;DOUBLET;Alexis;36;DOUBLET Alexis
113;M;Secrétaire Général;GUINOISEAU;Eric;37;GUINOISEAU Eric
114;M;Directeur Expertise & Plaidoyer;REVAULT;Pascal;38;REVAULT Pascal
115;M;;SIEGEL;Michael;38;SIEGEL Michael
116;MME;;SIMPERE;Anne-Sophie;38;SIMPERE Anne-Sophie
117;M;Directeur Général;DUNCAN;Matthieu;39;DUNCAN Matthieu
118;MME;Directrice de la vie institutionnelle;HOVANESSIAN;Anne;40;HOVANESSIAN Anne
119;M;Directeur du port de commerce;PONCHON;Benoit;40;PONCHON Benoit
120;M;Président;JAYAT;Jean-Louis;41;JAYAT Jean-Louis
121;MME;Directrice générale;CHAZEAU;Anne-Laure;41;CHAZEAU Anne-Laure
122;M;Directeur juridique;SOUILLEAUX;Alain;42;SOUILLEAUX Alain
123;M;Président;PLAT;Eric;42;PLAT Eric
124;MME;Déléguée générale;BOUTHELIER;Alexandra;42;BOUTHELIER Alexandra
125;M;vice-président;BONAPARTE;Frédéric;42;BONAPARTE Frédéric
126;M;secrétaire;MOSTAERT;Christophe;42;MOSTAERT Christophe
127;M;trésorier;MARTIN-DELAHAYE;Yves;42;MARTIN-DELAHAYE Yves
128;M;administrateur;PETERS;Eric;42;PETERS Eric
129;M;administrateur;PAPAZ;Didier;42;PAPAZ Didier
130;M;administrateur;BECHT;Philippe;42;BECHT Philippe
131;M;administrateur;JAYET;Philippe;42;JAYET Philippe
132;M;administrateur;LEMESLE;Christophe;42;LEMESLE Christophe
133;M;administrateur;DRY;Jean-Pierre;42;DRY Jean-Pierre
134;M;administrateur;FAGES;Gilles;42;FAGES Gilles
135;MME;Responsable communication externe;FURE;Marion;42;FURE Marion
136;M;administrateur;FLAHAUT;Eric;42;FLAHAUT Eric
137;M;administrateur;BIERRY;Olivier;42;BIERRY Olivier
138;MME;Responsable communication & relations adhérents;LEWIN;Frédérique;42;LEWIN Frédérique
139;M;administrateur;BAUDOZ;Jacques;42;BAUDOZ Jacques
140;M;administrateur;MUGGEO;Valéry;42;MUGGEO Valéry
141;M;administrateur;VOUTERS;Grégory;42;VOUTERS Grégory
142;MME;Juriste;BILLARD;Julia;42;BILLARD Julia
143;M;Président;GENET;Philippe;43;GENET Philippe
144;MME;Dirigeante;JOUVET;Alexandra;44;JOUVET Alexandra
145;M;avocat;BAILLET;Francis;45;BAILLET Francis
146;MME;Avocat;HAUSSER;Marine;45;HAUSSER Marine
147;M;Président Compagnie Minière Montagne d'Or;PARIS;Pierre;46;PARIS Pierre
148;MME;;ZIMMER;Chantal;47;ZIMMER Chantal
149;MME;;PARENT;Agnès;47;PARENT Agnès
150;M;;DURAND;Patrice;48;DURAND Patrice
151;M;Directeur général;MOUSTIAL;Pierre;49;MOUSTIAL Pierre
152;M;Directeur des Affaires publiques et de la Communication;DE TINGUY;Edouard;49;DE TINGUY Edouard
153;M;Président;DE BOTTON;Philippe;50;DE BOTTON Philippe
154;MME;Présidente;SIVIGNON;Françoise;50;SIVIGNON Françoise
155;M;Directeur Général;WEILER;Joël;50;WEILER Joël
156;M;Direction des Opérations Internationales;CORTY;Jean-François;50;CORTY Jean-François
157;M;Direction santé et plaidoyer;SIMON;Sandrine;50;SIMON Sandrine
158;M;Responsable de la campagne Prix du médicament;MAGUET;Olivier;50;MAGUET Olivier
159;M;Direction des Opérations France;LEBIHAN;Yannick;50;LEBIHAN Yannick
160;MME;Responsable du pôle expertise des opérations en France;GODARD;Nathalie;50;GODARD Nathalie
161;MME;Chargée de mission plaidoyer et vie associative - secteur France;FANGET;Delphine;50;FANGET Delphine
162;MME;Chargée de plaidoyer Droits et Santé Sexuels et Reproductifs;SINIC;Anne;50;SINIC Anne
163;M;Représentant de Médecins du Monde  au CNLE;MORIAU;Bernard;50;MORIAU Bernard
164;MME;Juriste, référente appui terrain et plaidoyer secteur France;GANON LECOMTE;Flore;50;GANON LECOMTE Flore
165;MME;Référente thématique et plaidoyer - secteur France;BRET;Clémentine;50;BRET Clémentine
166;M;"Coordinateur plaidoyer ""prix des médicaments et systèmes de santé""";BRIGAND;Théau;50;BRIGAND Théau
167;MME;référente réduction des risques / travailleur.euse.s du sexe;ABBOUDARAM;Irène;50;ABBOUDARAM Irène
168;M;;VOGLEY;Jean-Charles;51;VOGLEY Jean-Charles
169;MME;responsable des affaires sociales;FRANCERIES;Marie-Anne;51;FRANCERIES Marie-Anne
170;MME;Directrice;VIO;Isabelle;52;VIO Isabelle
171;M;Président;BERNHARDT;Christian;52;BERNHARDT Christian
172;M;Chargé d’affaires et responsable qualité;BERNHARDT;François;52;BERNHARDT François
173;MME;Gestionnaire et chargée d’affaires;VAVRAND;Véronique;52;VAVRAND Véronique
174;M;Président du Conseil d'administration;JEAN-LOUIS;Bancel;53;JEAN-LOUIS Bancel
175;MME;Présidente;CURAT;Anne-Marie;54;CURAT Anne-Marie
176;MME;Vice-Présidente;BENOIT TRUONG CANH;Marianne;54;BENOIT TRUONG CANH Marianne
177;MME;Secrétaire générale;DERRENDINGER;Isabelle;54;DERRENDINGER Isabelle
178;M;Responsable des relations institutionnelles et des affaires européennes;DELAHAYE;Jean-Marc;54;DELAHAYE Jean-Marc
179;M;chargé des relations institutionnelles;MEYER;David;54;MEYER David
180;M;;BENETTI;Jean;55;BENETTI Jean
181;M;;PATRY;Didier;56;PATRY Didier
182;M;Vice-président Licensing;PUYPLAT;Vincent;56;PUYPLAT Vincent
183;MME;;COFFINIER;Anne;57;COFFINIER Anne
184;MME;Responsable des relations institutionnelles;GIRARD;Axelle;57;GIRARD Axelle
185;M;Délégué général;DEWACHTER;Arnaud;58;DEWACHTER Arnaud
186;M;;DEMON;Michel;59;DEMON Michel
187;MME;Directrice Juridique;LALLIER GOLLET;Genevieve;60;LALLIER GOLLET Genevieve
188;M;Directeur des affaires publiques;BOUTELOUP;Christophe;60;BOUTELOUP Christophe
189;M;Président du conseil d'administration;NOUZAREDE;Jérôme;60;NOUZAREDE Jérôme
190;M;Gestionnaire;SLIM;Nicolas;61;SLIM Nicolas
191;MME;Chief Sustainability Officer and Head of International Institutional Affairs;DAVEU;Marie-Claire;62;DAVEU Marie-Claire
192;M;Institutional Relations Manager;GUYOT-SIONNEST;Paul;62;GUYOT-SIONNEST Paul
193;M;Institutional Relations Officer;FONGARO;Alexandre;62;FONGARO Alexandre
194;M;Délégué Général aux Relations Institutionnelles;ARMAND;Loic Marie;63;ARMAND Loic Marie
195;MME;Directrice de la Communication et des Affaires Publiques France;FAFIN;Domitille;63;FAFIN Domitille
196;M;Directeur Général- Division France -;NAVELLOU;Hervé;63;NAVELLOU Hervé
197;M;Délégué Général aux Relations Institutionnelles;SIMONNEAU;Denis;63;SIMONNEAU Denis
198;M;;SIMONNEAU;Denis;63;SIMONNEAU Denis
199;MME;Responsable Affaires économiques, Fiscalité, Environnement;OUVRIEU;Adrienne;64;OUVRIEU Adrienne
200;MME;Responsable juridique et social;GAZEL;Stéphanie;64;GAZEL Stéphanie
201;M;Président de la commission EHS;LANE;Jean Marie;64;LANE Jean Marie
202;M;Président de la commission sociale;LECLERCQ;Sébastien;64;LECLERCQ Sébastien
203;M;Représentant désigné au Conseil supérieur de la construction - Président du groupe ville durable Nouvelle France Industrielle;PESTRE;Jacques;64;PESTRE Jacques
204;M;Président de la commission économique;BOURDON;Patrick;64;BOURDON Patrick
205;M;Directeur juridique;ESCOUBET;Erwan;65;ESCOUBET Erwan
206;M;Délégué général;SEBBAG;Marc-Olivier;65;SEBBAG Marc-Olivier
207;M;Directeur;RIVAL;Bertrand;66;RIVAL Bertrand
208;MME;Chargée de mission;LUTRAND;Marie-Sophie;66;LUTRAND Marie-Sophie
209;MME;Chargée de mission;BOUCHERIE;Hélène;66;BOUCHERIE Hélène
210;M;Chargée de mission;RICHARD;Alice;66;RICHARD Alice
211;M;Secrétaire général;VILA;Bruno;66;VILA Bruno
212;M;Vice-président;ROCHE;Gérard;66;ROCHE Gérard
213;M;Directeur Affaires Publiques;GORIN;Basile;67;GORIN Basile
214;M;Responsable Affaires Publiques;RÉMY;Stéphane;67;RÉMY Stéphane
215;M;Responsable Affaires Publiques;VON LOWIS;Alexandre;67;VON LOWIS Alexandre
216;M;;CLAUSSE;Pierre-Jean;68;CLAUSSE Pierre-Jean
217;M;Délégué général;MARTIN;Emmanuel;69;MARTIN Emmanuel
218;MME;Présidente;CHALMETTE;Julie;69;CHALMETTE Julie
219;M;Président Délégué Général;MASSÉ;Philippe;70;MASSÉ Philippe
220;M;Directeur Technique;GOURSOT;Jean-François;70;GOURSOT Jean-François
221;MME;DELEGUEE REGIONALE;MONNIN;Stephanie;71;MONNIN Stephanie
222;MME;DELEGUEE REGIONALE;NOSJEAN;Blandine;71;NOSJEAN Blandine
223;MME;DELEGUEE REGIONALE;HERRGOTT;Sabine;71;HERRGOTT Sabine
224;MME;DELEGUEE REGIONALE;LAUDOUAR;Benedicte;71;LAUDOUAR Benedicte
225;MME;DELEGUEE REGIONALE;SIMON;Karine;71;SIMON Karine
226;MME;DELEGUEE REGIONALE;DI LEO;Marie-Pierre;71;DI LEO Marie-Pierre
227;M;DELEGUEE REGIONALE;HENAULT;Damien;71;HENAULT Damien
228;M;PRESIDENT;BARDON;Pierre;72;BARDON Pierre
229;M;DIRECTEUR;SAVY;Yvan;72;SAVY Yvan
230;MME;DIRECTRICE PLAIDOYER ET ENGAGEMENT DES JEUNES;PERROT;Michelle;72;PERROT Michelle
231;M;RESPONSABLE COMMUNICATION INFLUENCE ET RELATIONS PUBLIQUES;BEAUHAIRE;Julien;72;BEAUHAIRE Julien
232;M;Animateur syndical;BARTHELET;Ludovic;73;BARTHELET Ludovic
233;M;Secrétaire général;TOULIS;Rémi;73;TOULIS Rémi
234;M;Directrice;GIRONCE;Estelle;73;GIRONCE Estelle
235;MME;Responsable des Partenariats et des Relations publiques;SAMEUR;Samira;74;SAMEUR Samira
236;M;Délégué régional Auvergne / Rhône-Alpes;BERNELIN;Thierry;74;BERNELIN Thierry
237;MME;Déléguée régionale Bourgogne / Franche-Comté;DUMOND;Gwenola;74;DUMOND Gwenola
238;M;Délégué régional Bretagne;CHAPALAIN;Olivier;74;CHAPALAIN Olivier
239;M;Délégué régional Centre;COLIN;Benoît;74;COLIN Benoît
240;M;Délégué régional Corse;ARTILY;Michel;74;ARTILY Michel
241;M;Délégué régional Grand Est;PHILIBERT;Marc;74;PHILIBERT Marc
242;M;Délégué régional Hauts-de-France;BERTIN;Christophe;74;BERTIN Christophe
243;MME;Déléguée régionale Normandie;ROCHE;Dominique;74;ROCHE Dominique
244;M;Délégué régional Nouvelle-Aquitaine;SALLERES;Patrick;74;SALLERES Patrick
245;M;Délégué régional Pays de la Loire;FRBEZAR;Emile;74;FRBEZAR Emile
246;M;Administrateur chargé des affaires sociales;CLUZEAU;David;74;CLUZEAU David
247;MME;Administratrice chargée du développement territorial;ROSSI;Aurélie;74;ROSSI Aurélie
248;M;Directeur Général;DARRIGRAND;Sébastien;74;DARRIGRAND Sébastien
249;M;Président;VIDOR;Hugues;74;VIDOR Hugues
250;MME;Vice-présidente;MARIE-PIERRE;Lebreton;74;MARIE-PIERRE Lebreton
251;M;Administrateur chargé de l'emploi et de la formation professionnelle;JEAN-MARIE;Poujol;74;JEAN-MARIE Poujol
252;M;Secrétaire;COMBE;Jean-Christophe;74;COMBE Jean-Christophe
253;MME;Administratrice Présidente de la Commission Protection sociale et santé;LORENZI;Isabelle;74;LORENZI Isabelle
254;M;Responsable du pôle Relations sociales;GUYOT;Serge;74;GUYOT Serge
255;M;Chargé de développement et d'animation territoriale;BOZONNET;Charles;74;BOZONNET Charles
256;M;Chargé de développement et d'animation territoriale;POINSIGNON;Guillaume;74;POINSIGNON Guillaume
257;M;Délégué régional Ile-de-France;BORENTIN;Henri;74;BORENTIN Henri
258;MME;Déléguée régionale Occitanie;WEISS;Pascale;74;WEISS Pascale
259;MME;Déléguée régionale PACA;BELLET;Colette;74;BELLET Colette
260;MME;;BESLIN;Marie-Rose;75;BESLIN Marie-Rose
261;M;Directeur-Conseil;NAVES;Laurent;75;NAVES Laurent
262;M;Président;SANANES;Bernard;75;SANANES Bernard
263;M;Directeur des relations institutionnelles;DURBIANO;Richard;76;DURBIANO Richard
264;M;Délégué général;CAILLET;Virgile;77;CAILLET Virgile
265;MME;Responsable des relations institutionnelles;RABES;Claire;77;RABES Claire
266;M;Conseiller;GOGIN;Pierre;77;GOGIN Pierre
267;MME;Déléguée Générale;LEVAVASSEUR;Pauline;78;LEVAVASSEUR Pauline
268;MME;Chargée de mission;DUCROCQ;Pauline;79;DUCROCQ Pauline
269;M;Secrétaire Général;CUVILLIER;Clément;79;CUVILLIER Clément
270;MME;Chargée de mission;GIRARD;Emilie;79;GIRARD Emilie
271;M;;VOGLEY;Jean-Charles;80;VOGLEY Jean-Charles
272;M;chargé de mission;FUMIERE;Julien;80;FUMIERE Julien
273;M;Vice Président;PRIGENT;Patrick;80;PRIGENT Patrick
274;M;Vice Président;FONTAINE;Daniel;80;FONTAINE Daniel
275;M;Vice Président;TUGAS;Gérard;80;TUGAS Gérard
276;MME;;BARTHEZ;Valérie;81;BARTHEZ Valérie
277;M;;MEUNIER;Emile;82;MEUNIER Emile
278;MME;STAGIAIRE;MENWEG;Laure;82;MENWEG Laure
279;MME;directeur;VATINELLE;Sandrine;83;VATINELLE Sandrine
280;M;Président;ABOBI;Ghislain;84;ABOBI Ghislain
281;MME;Secrétaire générale;BRIDJI;Anais;84;BRIDJI Anais
282;MME;trésorière;BRIDJI;Eva;84;BRIDJI Eva
283;MME;organisation et mobilisation;OBROU;Nadège;84;OBROU Nadège
284;MME;evénementiel;DIEMER;Amandine;84;DIEMER Amandine
285;MME;Présidente;MESPLES;Aline;85;MESPLES Aline
286;M;Secrétaire général;RIVERA;Jean-Marc;85;RIVERA Jean-Marc
287;MME;Secrétaire générale adjointe;DUBOIS;Laure;85;DUBOIS Laure
288;M;Président;BRENIER;Jean Pierre;86;BRENIER Jean Pierre
289;M;1é vice président;GARCIA;Jérôme;86;GARCIA Jérôme
290;MME;2é vice présidente;VIAL;Laure;86;VIAL Laure
291;M;3é vice président;BERENGUEL;Etienne;86;BERENGUEL Etienne
292;MME;Directrice FRANCE;RODER;Friederike;87;RODER Friederike
293;MME;Directrice adjointe FRANCE;HERVIEU;Annabel;87;HERVIEU Annabel
294;MME;Chargée de plaidoyer;KURKJIAN;Maé;87;KURKJIAN Maé
295;M;;COLON;David;88;COLON David
296;MME;Directrice des Affaires Publiques;PAOLI;Ludivine;89;PAOLI Ludivine
297;M;Associé;BONHÊME;Arthur;90;BONHÊME Arthur
298;MME;Associée;PELOUSE;Marie;90;PELOUSE Marie
299;M;;DE ROYER DUPRÉ;Gaëtan;90;DE ROYER DUPRÉ Gaëtan
300;MME;Consultante;MARIE;Noémie;90;MARIE Noémie
301;M;Delegue General;PRADIER;Vincent;91;PRADIER Vincent
302;M;President;GAMBIA;Ruvie;91;GAMBIA Ruvie
303;M;Directeur Affaires Publiques;BERIOT;Jose;92;BERIOT Jose
304;MME;Relations institutionnelles;STROMBONI;Claire;92;STROMBONI Claire
305;MME;Responsable juridique et affaires publiques;MORGANT;Léa;93;MORGANT Léa
306;MME;Déléguée générale;PARRIAUX;Sylvaine;93;PARRIAUX Sylvaine
307;M;Président;DEBIESSE;François;93;DEBIESSE François
308;M;;SOCCOL;Brice;94;SOCCOL Brice
309;M;Directeur Général Territoires et Institutions;GEFFROY;Jean-Michel;95;GEFFROY Jean-Michel
310;M;Directeur des Relations Institutionnelles;BACHELAY;Guillaume;95;BACHELAY Guillaume
311;M;RESPONSABLE DES AFFAIRES PUBLIQUES;BULTEZ;Pierre;96;BULTEZ Pierre
312;MME;déléguée Générale;CHOUX GROS-HENRY;Sandrine;97;CHOUX GROS-HENRY Sandrine
313;MME;juriste;STREANGA;Mihaela;97;STREANGA Mihaela
314;MME;;PERRISSIN-FABERT;Anne-Sophie;98;PERRISSIN-FABERT Anne-Sophie
315;M;;KLEIN;Dominique;99;KLEIN Dominique
316;M;;LE BIHAN;Yves;100;LE BIHAN Yves
317;M;Administrateur, trésorier;VAUSELLE;Jérome;100;VAUSELLE Jérome
318;MME;Administrateur, secrétaire;MARRO;Candice;100;MARRO Candice
319;MME;Secrétaire générale;GASCOIN;Guénola;101;GASCOIN Guénola
320;M;Présdient;CHEMIN;Jean-Louis;101;CHEMIN Jean-Louis
321;MME;Chargée de missions;JANVIER;Cécile;101;JANVIER Cécile
322;MME;Déléguée Générale;HARDOUIN;Laetitia;102;HARDOUIN Laetitia
323;M;Président;COUSIN;Régis;103;COUSIN Régis
324;MME;Déléguée Générale;BÉGUÉ;Caroline;103;BÉGUÉ Caroline
325;MME;CEO;DARRIEUTORT;Marion;104;DARRIEUTORT Marion
326;MME;Directrice de clientèle;CORTEGGIANO;Anne;104;CORTEGGIANO Anne
327;M;Consultant;MAZELIER;Valentin;104;MAZELIER Valentin
328;M;Consultant;GAVARD;Alexandre;104;GAVARD Alexandre
329;MME;Consultante;MOULAY;Myriam;104;MOULAY Myriam
330;MME;Directrice de clientèle;DUBOSCQ;Anne;104;DUBOSCQ Anne
331;MME;Consultante indépendante - AMBO Conseil;BOUVIER;Amandine;104;BOUVIER Amandine
332;M;Consultant senior;CLAUZADE;Pierre-Noël;104;CLAUZADE Pierre-Noël
333;M;Consultant;BERARD;Théo;104;BERARD Théo
334;MME;;LONGI;Chantal;104;LONGI Chantal
335;M;;MAZELIER;Valentin;104;MAZELIER Valentin
336;M;Directeur Général;RABY;Jean;105;RABY Jean
337;MME;Directrice adjointe;LOYER;Florence;106;LOYER Florence
338;MME;;BAUDIN;Sophie;106;BAUDIN Sophie
339;MME;Conseillère juridique;LEVRON;Solenne;106;LEVRON Solenne
340;MME;;LE GRAND;Claire;106;LE GRAND Claire
341;M;Directeur;BRACK;Vincent;106;BRACK Vincent
342;M;Responsable Affaires Publiques et Communication, Secrétaire Général;LAMBERT;Eric;107;LAMBERT Eric
343;M;SENIOR VP AFFAIRES PUBLIQUES & COMMUNICATION GROUPE;VERON;Didier;108;VERON Didier
344;M;VICE PRESIDENT CORPORATE PROJECTS;DE LA TOUR;Christian;108;DE LA TOUR Christian
345;M;PRESIDENT Ipsen S.A;DE GARIDEL;Marc;108;DE GARIDEL Marc
346;M;Président;MEEK;David;108;MEEK David
347;M;;VERON;Didier;108;VERON Didier
348;M;;DE LA TOUR;Christian;108;DE LA TOUR Christian
349;M;;DE GARIDEL;Marc;108;DE GARIDEL Marc
350;MME;Animatrice syndicale;LARCHE;Audrey;109;LARCHE Audrey
351;M;TRESORIER;RAGUIN;Cedric;109;RAGUIN Cedric
352;M;PRESIDENT;BILLET;Maxime;109;BILLET Maxime
