;action_menee;action_representation_interet_id;action_menee_autre
42;Envoyer des pétitions, lettres ouvertes, tracts;8;
43;Etablir une correspondance régulière (par courriel, par courrier…);8;
44;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;8;
45;Organiser des discussions informelles ou des réunions en tête-à-tête;9;
46;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;9;
47;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;9;
48;Organiser des débats publics, des marches, des stratégies d'influence sur internet;9;
49;Envoyer des pétitions, lettres ouvertes, tracts;9;
50;Etablir une correspondance régulière (par courriel, par courrier…);9;
51;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;9;
52;Organiser des discussions informelles ou des réunions en tête-à-tête;10;
53;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;10;
54;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;10;
55;Organiser des débats publics, des marches, des stratégies d'influence sur internet;10;
56;Envoyer des pétitions, lettres ouvertes, tracts;10;
57;Etablir une correspondance régulière (par courriel, par courrier…);10;
58;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;10;
59;Organiser des discussions informelles ou des réunions en tête-à-tête;11;
60;Organiser des discussions informelles ou des réunions en tête-à-tête;12;
61;Organiser des discussions informelles ou des réunions en tête-à-tête;13;
62;Organiser des discussions informelles ou des réunions en tête-à-tête;14;
63;Organiser des discussions informelles ou des réunions en tête-à-tête;15;
64;Organiser des discussions informelles ou des réunions en tête-à-tête;16;
65;Organiser des discussions informelles ou des réunions en tête-à-tête;17;
66;Organiser des discussions informelles ou des réunions en tête-à-tête;18;
67;Autres : à préciser;19;Action de communication pour faire connaitre le PIMMS et son réseau
68;Organiser des discussions informelles ou des réunions en tête-à-tête;20;
69;Organiser des discussions informelles ou des réunions en tête-à-tête;21;
70;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;22;
71;Organiser des discussions informelles ou des réunions en tête-à-tête;23;
72;Organiser des discussions informelles ou des réunions en tête-à-tête;24;
73;Organiser des discussions informelles ou des réunions en tête-à-tête;25;
74;Organiser des discussions informelles ou des réunions en tête-à-tête;26;
75;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;27;
76;Organiser des discussions informelles ou des réunions en tête-à-tête;28;
77;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;28;
78;Organiser des discussions informelles ou des réunions en tête-à-tête;29;
79;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;29;
80;Organiser des discussions informelles ou des réunions en tête-à-tête;30;
81;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;30;
82;Organiser des discussions informelles ou des réunions en tête-à-tête;31;
83;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;31;
84;Organiser des discussions informelles ou des réunions en tête-à-tête;32;
85;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;32;
86;Organiser des discussions informelles ou des réunions en tête-à-tête;33;
87;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;33;
88;Organiser des discussions informelles ou des réunions en tête-à-tête;34;
89;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;34;
90;Organiser des discussions informelles ou des réunions en tête-à-tête;35;Proposer avec d'autres organisations un guide d'application pratique
91;Autres : à préciser;35;Proposer avec d'autres organisations un guide d'application pratique
92;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;35;Proposer avec d'autres organisations un guide d'application pratique
93;Organiser des discussions informelles ou des réunions en tête-à-tête;36;
94;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;36;
95;Organiser des discussions informelles ou des réunions en tête-à-tête;37;
96;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;37;
97;Organiser des discussions informelles ou des réunions en tête-à-tête;38;
98;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;38;
99;Organiser des discussions informelles ou des réunions en tête-à-tête;39;
100;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;39;
101;Organiser des discussions informelles ou des réunions en tête-à-tête;40;
102;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;40;
103;Organiser des discussions informelles ou des réunions en tête-à-tête;41;
104;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;41;
105;Organiser des discussions informelles ou des réunions en tête-à-tête;42;
106;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;42;
107;Organiser des discussions informelles ou des réunions en tête-à-tête;43;
108;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;43;
109;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;44;
110;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;44;
111;Etablir une correspondance régulière (par courriel, par courrier…);44;
112;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;45;
113;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;45;
114;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;46;
115;Etablir une correspondance régulière (par courriel, par courrier…);46;
116;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;47;
117;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;47;
118;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;48;
119;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;49;
120;Etablir une correspondance régulière (par courriel, par courrier…);49;
121;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;50;
122;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;50;
123;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;51;
124;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;52;
125;Etablir une correspondance régulière (par courriel, par courrier…);52;
126;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;53;
127;Etablir une correspondance régulière (par courriel, par courrier…);53;
128;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;54;
129;Etablir une correspondance régulière (par courriel, par courrier…);54;
130;Etablir une correspondance régulière (par courriel, par courrier…);55;
131;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;56;
132;Etablir une correspondance régulière (par courriel, par courrier…);56;
133;Organiser des discussions informelles ou des réunions en tête-à-tête;57;
134;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;57;
135;Envoyer des pétitions, lettres ouvertes, tracts;57;
136;Etablir une correspondance régulière (par courriel, par courrier…);57;
137;Organiser des discussions informelles ou des réunions en tête-à-tête;58;
138;Autres : à préciser;59;participations au dîner et au débats
139;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;60;
140;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;61;
141;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;62;
142;Organiser des discussions informelles ou des réunions en tête-à-tête;63;
143;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;63;
144;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;64;
145;Etablir une correspondance régulière (par courriel, par courrier…);64;
146;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;65;
147;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;65;
148;Organiser des discussions informelles ou des réunions en tête-à-tête;66;
149;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;66;
150;Organiser des discussions informelles ou des réunions en tête-à-tête;67;
151;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;67;
152;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;68;
153;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;68;
154;Organiser des discussions informelles ou des réunions en tête-à-tête;69;
155;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;69;
156;Organiser des débats publics, des marches, des stratégies d'influence sur internet;69;
157;Organiser des discussions informelles ou des réunions en tête-à-tête;70;
158;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;70;
159;Etablir une correspondance régulière (par courriel, par courrier…);70;
160;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;70;
161;Organiser des discussions informelles ou des réunions en tête-à-tête;71;
162;Etablir une correspondance régulière (par courriel, par courrier…);71;
163;Organiser des discussions informelles ou des réunions en tête-à-tête;72;
164;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;72;
165;Organiser des débats publics, des marches, des stratégies d'influence sur internet;72;
166;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;72;
167;Organiser des discussions informelles ou des réunions en tête-à-tête;73;
168;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;73;
169;Etablir une correspondance régulière (par courriel, par courrier…);73;
170;Organiser des discussions informelles ou des réunions en tête-à-tête;74;
171;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;74;
172;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;74;
173;Etablir une correspondance régulière (par courriel, par courrier…);74;
174;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;75;
175;Etablir une correspondance régulière (par courriel, par courrier…);75;
176;Organiser des discussions informelles ou des réunions en tête-à-tête;76;
177;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;76;
178;Etablir une correspondance régulière (par courriel, par courrier…);76;
179;Organiser des discussions informelles ou des réunions en tête-à-tête;77;
180;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;77;
181;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;78;
182;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;79;
183;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;79;
184;Organiser des discussions informelles ou des réunions en tête-à-tête;80;
185;Etablir une correspondance régulière (par courriel, par courrier…);81;
186;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;82;
187;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;82;
188;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;83;
189;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;83;
190;Organiser des discussions informelles ou des réunions en tête-à-tête;84;
191;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;84;
192;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;85;
193;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;85;
194;Organiser des discussions informelles ou des réunions en tête-à-tête;86;
195;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;86;
196;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;87;
197;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;88;
198;Etablir une correspondance régulière (par courriel, par courrier…);88;
199;Organiser des discussions informelles ou des réunions en tête-à-tête;89;
200;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;90;
201;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;90;
202;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;90;
203;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;90;
204;Organiser des discussions informelles ou des réunions en tête-à-tête;91;
205;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;91;
206;Organiser des discussions informelles ou des réunions en tête-à-tête;92;
207;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;93;
208;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;94;
209;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;94;
210;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;95;
211;Organiser des discussions informelles ou des réunions en tête-à-tête;96;
212;Etablir une correspondance régulière (par courriel, par courrier…);96;
213;Organiser des discussions informelles ou des réunions en tête-à-tête;97;
214;Organiser des discussions informelles ou des réunions en tête-à-tête;98;
215;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;98;
216;Organiser des discussions informelles ou des réunions en tête-à-tête;99;
217;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;99;
218;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;99;
219;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;99;
220;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;100;
221;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;101;
222;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;102;
223;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;103;
224;Etablir une correspondance régulière (par courriel, par courrier…);103;
225;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;104;
226;Etablir une correspondance régulière (par courriel, par courrier…);104;
227;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;105;
228;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;105;
229;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;106;
230;Etablir une correspondance régulière (par courriel, par courrier…);106;
231;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;107;
232;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;107;
233;Etablir une correspondance régulière (par courriel, par courrier…);107;
234;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;108;
235;Etablir une correspondance régulière (par courriel, par courrier…);108;
236;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;109;
237;Etablir une correspondance régulière (par courriel, par courrier…);109;
238;Organiser des discussions informelles ou des réunions en tête-à-tête;110;
239;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;111;
240;Etablir une correspondance régulière (par courriel, par courrier…);111;
241;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;112;
242;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;112;
243;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;113;
244;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;113;
245;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;114;
246;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;114;
247;Etablir une correspondance régulière (par courriel, par courrier…);114;
248;Etablir une correspondance régulière (par courriel, par courrier…);115;
249;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;116;
250;Etablir une correspondance régulière (par courriel, par courrier…);116;
251;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;117;
252;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;118;
253;Etablir une correspondance régulière (par courriel, par courrier…);118;
254;Organiser des discussions informelles ou des réunions en tête-à-tête;119;
255;Organiser des discussions informelles ou des réunions en tête-à-tête;120;
256;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;120;
257;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;120;
258;Etablir une correspondance régulière (par courriel, par courrier…);120;
259;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;120;
260;Organiser des discussions informelles ou des réunions en tête-à-tête;121;
261;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;121;
262;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;121;
263;Etablir une correspondance régulière (par courriel, par courrier…);121;
264;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;121;
265;Organiser des discussions informelles ou des réunions en tête-à-tête;122;
266;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;122;
267;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;122;
268;Etablir une correspondance régulière (par courriel, par courrier…);122;
269;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;122;
270;Organiser des discussions informelles ou des réunions en tête-à-tête;123;
271;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;123;
272;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;123;
273;Etablir une correspondance régulière (par courriel, par courrier…);123;
274;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;123;
275;Organiser des discussions informelles ou des réunions en tête-à-tête;124;
276;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;124;
277;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;124;
278;Etablir une correspondance régulière (par courriel, par courrier…);124;
279;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;124;
280;Organiser des discussions informelles ou des réunions en tête-à-tête;125;
281;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;125;
282;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;125;
283;Etablir une correspondance régulière (par courriel, par courrier…);125;
284;Organiser des discussions informelles ou des réunions en tête-à-tête;126;
285;Organiser des discussions informelles ou des réunions en tête-à-tête;127;
286;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;127;
287;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;127;
288;Etablir une correspondance régulière (par courriel, par courrier…);127;
289;Organiser des discussions informelles ou des réunions en tête-à-tête;128;
290;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;128;
291;Etablir une correspondance régulière (par courriel, par courrier…);128;
292;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;128;
293;Autres : à préciser;129;Dans le cadre défini par le décret n°2017-867 du 9 mai 2017, aucune action prévue par la liste annexée n'a été menée par CACEIS.
294;Autres : à préciser;130;Dans le cadre défini par le décret n° 2017-867 du 9 mai 2017, aucune action prévue par la liste annexée n’a été menée par CACEIS.
295;Etablir une correspondance régulière (par courriel, par courrier…);131;
296;Etablir une correspondance régulière (par courriel, par courrier…);132;
297;Etablir une correspondance régulière (par courriel, par courrier…);133;
298;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;134;
299;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;135;
300;Organiser des discussions informelles ou des réunions en tête-à-tête;136;
301;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;136;
302;Organiser des discussions informelles ou des réunions en tête-à-tête;137;
303;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;137;
304;Organiser des discussions informelles ou des réunions en tête-à-tête;138;
305;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;138;
306;Organiser des discussions informelles ou des réunions en tête-à-tête;139;
307;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;139;
308;Organiser des discussions informelles ou des réunions en tête-à-tête;140;
309;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;140;
310;Envoyer des pétitions, lettres ouvertes, tracts;141;
311;Organiser des discussions informelles ou des réunions en tête-à-tête;142;
312;Envoyer des pétitions, lettres ouvertes, tracts;143;
313;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;144;
314;Organiser des discussions informelles ou des réunions en tête-à-tête;145;
315;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;146;
316;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;147;
317;Envoyer des pétitions, lettres ouvertes, tracts;148;
318;Envoyer des pétitions, lettres ouvertes, tracts;149;
319;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;150;
320;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;151;
321;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;152;
322;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;153;
323;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;154;
324;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;155;
325;Envoyer des pétitions, lettres ouvertes, tracts;156;
326;Envoyer des pétitions, lettres ouvertes, tracts;157;
327;Envoyer des pétitions, lettres ouvertes, tracts;158;
328;Envoyer des pétitions, lettres ouvertes, tracts;159;
329;Envoyer des pétitions, lettres ouvertes, tracts;160;
330;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;161;
331;Envoyer des pétitions, lettres ouvertes, tracts;162;
332;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;163;
333;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;164;
334;Envoyer des pétitions, lettres ouvertes, tracts;165;
335;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;166;
336;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;167;
337;Envoyer des pétitions, lettres ouvertes, tracts;168;
338;Organiser des discussions informelles ou des réunions en tête-à-tête;169;
339;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;170;
340;Envoyer des pétitions, lettres ouvertes, tracts;171;
341;Envoyer des pétitions, lettres ouvertes, tracts;172;
342;Envoyer des pétitions, lettres ouvertes, tracts;173;
343;Envoyer des pétitions, lettres ouvertes, tracts;174;
344;Organiser des discussions informelles ou des réunions en tête-à-tête;175;
345;Envoyer des pétitions, lettres ouvertes, tracts;176;
346;Organiser des discussions informelles ou des réunions en tête-à-tête;177;
347;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;177;
348;Etablir une correspondance régulière (par courriel, par courrier…);177;
349;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;177;
350;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;178;
351;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;178;
352;Etablir une correspondance régulière (par courriel, par courrier…);178;
353;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;178;
354;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;179;
355;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;179;
356;Etablir une correspondance régulière (par courriel, par courrier…);179;
357;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;179;
358;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;179;
359;Organiser des discussions informelles ou des réunions en tête-à-tête;180;
360;Organiser des discussions informelles ou des réunions en tête-à-tête;181;
361;Organiser des discussions informelles ou des réunions en tête-à-tête;182;
362;Organiser des discussions informelles ou des réunions en tête-à-tête;183;
363;Organiser des discussions informelles ou des réunions en tête-à-tête;184;
364;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;185;
365;Organiser des discussions informelles ou des réunions en tête-à-tête;186;
366;Organiser des discussions informelles ou des réunions en tête-à-tête;187;
367;Organiser des discussions informelles ou des réunions en tête-à-tête;188;
368;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;189;
369;Organiser des discussions informelles ou des réunions en tête-à-tête;190;
370;Organiser des discussions informelles ou des réunions en tête-à-tête;191;
371;Organiser des discussions informelles ou des réunions en tête-à-tête;192;
372;Organiser des discussions informelles ou des réunions en tête-à-tête;193;
373;Etablir une correspondance régulière (par courriel, par courrier…);194;
374;Organiser des discussions informelles ou des réunions en tête-à-tête;195;
375;Organiser des discussions informelles ou des réunions en tête-à-tête;196;
376;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;197;
377;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;198;
378;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;199;
379;Organiser des discussions informelles ou des réunions en tête-à-tête;200;
380;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;201;
381;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;202;
382;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;203;
383;Organiser des discussions informelles ou des réunions en tête-à-tête;204;
384;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;205;
385;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;206;
386;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;206;
387;Organiser des discussions informelles ou des réunions en tête-à-tête;207;
388;Etablir une correspondance régulière (par courriel, par courrier…);207;
389;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;208;
390;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;208;
391;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;209;
392;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;209;
393;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;210;
394;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;210;
395;Organiser des discussions informelles ou des réunions en tête-à-tête;211;
396;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;211;
397;Organiser des débats publics, des marches, des stratégies d'influence sur internet;211;
398;Envoyer des pétitions, lettres ouvertes, tracts;211;
399;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;211;
400;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;212;
401;Organiser des débats publics, des marches, des stratégies d'influence sur internet;212;
402;Organiser des discussions informelles ou des réunions en tête-à-tête;213;
403;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;213;
404;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;213;
405;Organiser des discussions informelles ou des réunions en tête-à-tête;214;
406;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;214;
407;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;214;
408;Organiser des débats publics, des marches, des stratégies d'influence sur internet;214;
409;Organiser des discussions informelles ou des réunions en tête-à-tête;215;
410;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;215;
411;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;215;
412;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;216;
413;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;216;
414;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;217;
415;Envoyer des pétitions, lettres ouvertes, tracts;217;
