;beneficiaire_action_menee;action_representation_interet_id;action_menee_en_propre
214;SOC EXPLOITATION ETAB DUNEAU;12;0
215;SOC NOUVELLE TOLERIE MODERNE;12;0
216;ETS DUPRESSOIR SARL;12;0
217;CAP 45;12;0
218;GARAGE GAUTHIER EURL;12;0
219;ACP CARROSSERIE BOISSARD;12;0
220;CARROSSERIE PLOTTON SARL;12;0
221;CARROSSERIE JOEL SOUCHARD ET FILS SARL;12;0
222;DESVER EURL;12;0
223;EDE;12;0
224;CARROSSERIE ZAMBEAUX;12;0
225;CARAXIAL;12;0
226;SARL ATELIERS CANGIONI;12;0
227;S.W;12;0
228;CARROSSERIE GARREL;12;0
229;AUTOLIFT;12;0
230;VINCENT AUTO LIFTING;12;0
231;CARROSSERIE AUGUSTE;12;0
232;CARROSSERIE GNANI;12;0
233;CHALMEL STEPHANE ALAIN;12;0
234;CARROSSERIE  GUARDIA;12;0
235;AGUILAR MANUEL;12;0
236;GIMENEZ;12;0
237;SARL CARROSSERIE MEDINA;12;0
238;PRODECO;12;0
239;DELOS DAVID DANIEL GEORGES;12;0
240;ETABLISSEMENTS FONT ELIE;12;0
241;MAC CALLUM CYRIL WILLIAM;12;0
242;SARL CARROSSERIE PIANENCQUE;12;0
243;LECORRE;12;0
244;MATAS JEAN-FRANCOIS;12;0
245;CANU BERNARD PASCAL;12;0
246;MAURETA ERIC;12;0
247;GARAGE LOUIS;12;0
248;CARROSSERIE SCHAFF VL;12;0
249;SARL CARROSSERIE BOURDON;12;0
250;WOIPPY ET BONUS PARE - BRISE;12;0
251;SARL LA JUVENTUS;12;0
252;GROUPE CARROSSERIES 88 SARL;12;0
253;GARAGE BRUGIER;12;0
254;STE CARROSSERIE SERIGNAC;12;0
255;NATIONAL CARROSSERIE;12;0
256;SARL CARROSSERIE SAINT SIMON;12;0
257;SARL CARROSSERIE ASSISTANCE TOGUE;12;0
258;GARAGE GATTI;12;0
259;SARL CARROSSERIE LACAZE;12;0
260;ROBOAM NICOLAS STEPHANE;12;0
261;SOCIETE MOGA ET FILS;12;0
262;"SARL ""F.B AUTOMOBILE """;12;0
263;CARROSSERIE SAINT JEAN;12;0
264;SOCIETE D'EXPLOITATION CARROSSERIE COLLARD;12;0
265;MECAPEINTOL;12;0
266;A ESPACE CARROSSERIE PEREZ;12;0
267;ETABLISSEMENTS FOURCADE ET FILS;12;0
268;LYS AUTO 31;12;0
269;SARL CARROSSERIE PORCHERON;12;0
270;STIVAL CARROSSERIE;12;0
271;EYCHENNE FREDERIC;12;0
272;FB AUTOMOBILE CASTELNAU D'ESTRETEFONDS;12;0
273;CARROSSERIE TONIOL FRERES;12;0
274;CARROSSERIE COSTES;12;0
275;SARL CARROSSERIE PASA;12;0
276;CARROSSERIE CABAL;12;0
277;DOUSSAU YVES;12;0
278;LACOSTE DIDIER;12;0
279;CARROSSERIE MENDOISE;12;0
280;SARL BARRAQUE CARROS VEHIC LEGER & INDUS;12;0
281;SARL MARTIN FRERES;12;0
282;SOC EXPL CARROSSERIE VIDAL;12;0
283;SOCIETE D'EXPLOITATION DES ETABLISSEMENTS CARROSSERIE PORTILLO PAR ABREVIATION SEE CARROSSERIE PORTILLO;12;0
284;CARROSSERIE NOGUEIRA;12;0
285;GABRIEL ANDRE;12;0
286;CARROSSERIE LEMBEYE;12;0
287;LES CARROSSIERS REUNIS;12;0
288;CARROSSERIE COULON;12;0
289;VALAUTO ROUBAIX;12;0
290;VALAUTO LAMBERSART;12;0
291;VEXOR;12;0
292;AUTOMOBILE DU DRONCKAERT;12;0
293;GARAGE LOYER;12;0
294;CARROSSERIE DESOIL;12;0
295;CARROSSERIE ROUZE;12;0
296;GARAGE JEAN RIBEIRO;12;0
297;CARROSSERIE ROLAND;12;0
298;CARROSSERIE FONTAINE FABRICE;12;0
299;VALAUTO RONCQ;12;0
300;CARROSSERIE MODERNE OLIVIER DELATTRE;12;0
301;KOWALCZUK ERIC EDOUARD;12;0
302;GARAGE TIERCE;12;0
303;CARROSSERIE BEAUCHAMPS;12;0
304;GARAGE PICHON;12;0
305;VAL DE LYS AUTOMOBILES;12;0
306;CARROSSERIE PAYEN;12;0
307;CARROSSERIE CANDELIER;12;0
308;CARROSSERIE BOUT;12;0
309;CARROSSERIE PAPI;12;0
310;AUTO RACING;12;0
311;VALAUTO BETHUNE;12;0
312;VALAUTO ARTOIS;12;0
313;CARROSSERIE VINOIS;12;0
314;CARROSSERIE JLF;12;0
315;MARGEZ AUTOMOBILE;12;0
316;LIFTING CAR 27;12;0
317;PROUET FILS;12;0
318;CARROSSERIE PREUDHOMME;12;0
319;AUTO LIAISON;12;0
320;GARAGE ROBINE;12;0
321;MAGOT GILLES AIME;12;0
322;CARROSSERIE LAVRILLEUX-SOCIETE NOUVELLE;12;0
323;KEBLI MORAD;12;0
324;SARL CARROSSERIE BOUCHER;12;0
325;CARROSSERIE DE LA GARE;12;0
326;LIEVEAUX LUDOVIC ROBERT JOEL;12;0
327;CARROSSERIE MODERNE;12;0
328;SARL BILLARD;12;0
329;SOCIETE D'EX DU GARAGE CLAUDE SCHULTZ;12;0
330;DENT REPAIR 60 SARL;12;0
331;GARAGE SALIN;12;0
332;VARNIER SEBASTIEN;12;0
333;BC2M;12;0
334;CARROSSERIE FALLUEL;12;0
335;VALAUTO LOMME;12;0
336;EBS AUTO;12;0
337;FRANCE CARROSSERIE;12;0
338;AUTO PARDOEN;12;0
339;REMPLACE PARE BRISE;12;0
340;M A S;12;0
341;GROUPE ALBAX;12;0
342;GARAGE LIGUORI;12;0
343;ROSSI AUTOMOBILE;12;0
344;SARL CARROSSERIE AYVAZIAN;12;0
345;AMERICAN MOTOR'S;12;0
346;CARROSSERIE DU GARLABAN;12;0
347;CONSEILS & SOLUTIONS CARROSSERIE;12;0
348;CARROSSERIE CENTER;12;0
349;CARROSSERIE HERVE;12;0
350;SOCIETE DAO ANDREO;12;0
351;DK BOSS;12;0
352;COTTERCHIO;12;0
353;CARROSSERIE LA CASCADE;12;0
354;J.B. SERVICES;12;0
355;GARAGE CLAVEL;12;0
356;EURL BRENGUIER AUTOMOBILES PERE FILS;12;0
357;CARROSSERIE TECHNIQUE AUTO;12;0
358;LEQUEUX JULIEN;12;0
359;CARROSSERIE AUTO BONHOMME J-C;12;0
360;L'ALCHIMISTE;12;0
361;1 PARE-BRISE;12;0
362;SARL BARRAL ET FILS;12;0
363;ROBLES AUTOMOBILE;12;0
364;AUTO 2000;12;0
365;SOC D EXPLOITATION DE LA CARROSSERIE J.R. BOYER;12;0
366;CARROSSERIE DUVAL;12;0
367;CARROSSERIE ALESI ET FILS;12;0
368;GARAGE WINK CAR;12;0
369;GSF RENOVAUTO;12;0
370;ELIX THIERRY;12;0
371;BARY CARROSSERIE;12;0
372;AMELINA;12;0
373;33 DEBOSSELAGE;12;0
374;FRANCHI SYLVAIN;12;0
375;BOURDET XAVIER SAMUEL FABRICE;12;0
376;CARROSSERIE THUIRINOISE;12;0
377;BASSET PIERRE;12;0
378;OLIER THIERRY RENE;12;0
379;CTRE.REPARATION AUTOMOBILE M.POULET;12;0
380;GARAGE DUQUESNE;12;0
381;CITROEN CHAMPIONNET ORDENER VAUVENARGUES-CARROSSERIE LEBAR;12;0
382;CARROSSERIE KARMA;12;0
383;SARL CARROSSERIE;12;0
384;ATELIER SENE;12;0
385;TPC BOUGIVAL TOLERIE PEINTURE DU CENTRE;12;0
386;MVR EVOLUTION;12;0
387;CARROSSERIE D ORGEVAL;12;0
388;STOP AUTO;12;0
389;LC AUTO;12;0
390;PARK AUTO;12;0
391;PARK AUTO;12;0
392;MOBIL PARE-BRISE;12;0
393;GARAGE LE VILLAGE;12;0
394;IGNY AUTO;12;0
395;DEBOSS ST;12;0
396;LDC DEBOSSELAGE;12;0
397;JPN AUTOMOBILES;12;0
398;GARAGE RAVIER;12;0
399;CARROSSERIE NICOLAS;12;0
400;ISSY GARAGE LADOUX;12;0
401;AIGLE AUTO;12;0
402;CARROSSERIE FONTENAISIENNE;12;0
403;SOCIETE DE DISTRIBUTION ET DE REPARATION AUTOMOBILE S D R A;12;0
404;SOCIETE NOUVELLE GARAGE DE LA MAIRIE;12;0
405;SOCIETE POURTOUT;12;0
406;GARAGE DE LA BOULE;12;0
407;SOCIETE ANDRE SAUVEGRAIN;12;0
408;LCH;12;0
409;LINE DEBOSSELAGE;12;0
410;OJM AUTOMOBILES;12;0
411;SARL RIBEIRO;12;0
412;GARAGE PREMIER;12;0
413;AMEIXA FPL;12;0
414;BOSS MASTERS;12;0
415;RP DRANCY;12;0
416;SOC CARROSSERIE ALFORT;12;0
417;SARL GARAGE ANATOLE FRANCE;12;0
418;SERVICE AUTO VILLENEUVE;12;0
419;PROFIL CAR CHUNG;12;0
420;CKL AUTO;12;0
421;AUTO VITRAGE CHAMPIGNY;12;0
422;GARAGE GENTILLY;12;0
423;SERVICE RAPIDE PRESTATIONS AUTOMOBILES;12;0
424;AUTO DC;12;0
425;PEINTURE MECANIQUE 95;12;0
426;FAST AUTO;12;0
427;F C PEINTURE;12;0
428;CARROSSERIE JOREL SARL;12;0
429;E.S.Y.;12;0
430;DOS REIS HENRIQUE ANTONIO;12;0
431;GRENY CARROSSERIE;12;0
432;S.N. CARROSSERIE DE THOIRY;12;0
433;CARROSSERIE RAPHAEL;12;0
434;VEYRINES;12;0
435;CARROSSERIE MIDENA;12;0
436;CARROSSERIE DUMOULIN SARL;12;0
437;CORDET BRUNO;12;0
438;SARL CARROSSERIE NAVARRO;12;0
439;CARROSSERIE BAULE;12;0
440;CARROSSERIE ROUTIN;12;0
441;CHRISTOPHE CARROSSERIE;12;0
442;GARAGE THIVILLIER;12;0
443;BRIE AUTOMOBILES;12;0
444;CARROSSERIE GOUVERNEYRE;12;0
445;GARAGE NICOLAS;12;0
446;CARROSSERIE CARROT;12;0
447;GARAGE PHILIP;12;0
448;ROSE CARROSSERIE INDUSTRIELLE;12;0
449;CHEVALIERCARROSSERIE;12;0
450;EURL CARROSSERIE PHILIPPE POUDE;12;0
451;VERMOREL DAVID ROBERT;12;0
452;CARROSSERIE BARLET ET COMPAGNIE;12;0
453;CARROSSERIE JOSE GARCIA;12;0
454;CARROSSERIE J.G.;12;0
455;CARROSSERIE GARAGE MONTS DE LA MADELEINE;12;0
456;CARROSSERIE JACQUET;12;0
457;CARROSSERIE SALANON;12;0
458;CARROSSERIE VIAL;12;0
459;PLEIN AIR AUTO;12;0
460;ESPACE CARROSSERIE BUIRE;12;0
461;CONCEPT REPAIR ORADOU;12;0
462;CLERMONT CARROSSERIE;12;0
463;CARROSSERIE MICHEL;12;0
464;LABONNE CARROSSERIE;12;0
465;SAS GARAGE DEBUS PERE ET FILS;12;0
466;CARROSSERIE FAVIER;12;0
467;GARAGE PAULIN;12;0
468;CARROSSERIE BACCONET;12;0
469;SARL ESTEVES;12;0
470;CARROSSERIE BUIRE;12;0
471;SOCIETE DE GASPERIS;12;0
472;AMSELLEM JEAN CLAUDE;12;0
473;BPC;12;0
474;ETABLISSEMENTS CHAVANT;12;0
475;CARROSSERIE DE L'INSA;12;0
476;BESSET GRAND LYON;12;0
477;L'ARTISAN CARROSSIER;12;0
478;M V AUTOMOBILES;12;0
479;AJV;12;0
480;DE SAINT JEAN FILS;12;0
481;THIVILLIER OLIVER YVETTE;12;0
482;CARROSSERIE REMILLY;12;0
483;JFA2C;12;0
484;CARROSSERIE PETIT;12;0
485;CARROSSERIE BERGER;12;0
486;SOCIETE YVERICE;12;0
487;EURL RIGAUDIER CARROSSERIE DES GRANDES TERRES;12;0
488;SARL PARIAUD;12;0
489;CARROSSERIE LECAT ET FILS;12;0
490;AUTO CLEAN;12;0
491;CARROSSERIE VIOLA;12;0
492;GARAGE BELLECOTE;12;0
493;CARROSSERIE PAIS FRERES;12;0
494;DECROUX ANNIE SIMONE GEORGETTE;12;0
495;COLOR AUTO;12;0
496;CARROSSERIE F. GRILLET;12;0
497;SARL BERTRAND DESBIOLLES;12;0
498;CARROSSERIE VITTOZ SARL;12;0
499;CARMINATI FRANCK;12;0
500;CARROSSERIE FONTANA;12;0
501;E.B. CARROSSERIE;12;0
502;BRUNI SARL;12;0
503;CARROSSERIE PELISSOU;13;0
504;GARRAN AUTOS;13;0
505;CARROSSERIE BEGLAISE SARL;13;0
506;JLR INVESTISSEMENTS;13;0
507;CARROSSERIE MARTEL - DA COSTA;13;0
508;CARROSSERIE DES TABERNOTTES;13;0
509;DUREAU JEAN CHRISTOPHE;13;0
510;RABEL AUTOS;13;0
511;NARDOU PATRICK CHARLES;13;0
512;CARROSSERIE PITAUD SARL;13;0
513;SARL SEPE;13;0
514;NUNES MANUEL;13;0
515;TOLERIE PEINTURE MAULEONNAISE;13;0
516;CARROSSERIE CHEVOLEAU;13;0
517;CARROSSERIE ARTISANALE BRETTO BRUNET;13;0
518;PAGNOUX PRO CARROSSERIE;13;0
519;AUTO RELAIS GATINEAU;13;0
520;CARROSSERIE LACROIX;13;0
521;CARROSSERIE LUSSACOISE;13;0
522;SA CARROSSERIE DU VAL DE L'AURENCE;13;0
523;ROSSET PIERRE FRANCOIS;13;0
524;CARROSSERIE GRESSET SARL;13;0
525;GARAGE GUENOT P.;13;0
526;GARAGE WOLF;13;0
527;GP DEBOSSELAGE;13;0
528;CURE MANUEL;13;0
529;HAINAUD SPORTS;13;0
530;PRZYBYCIEN DENIS JEAN;13;0
531;TWINER;13;0
532;REMI CUVILLIEZ;13;0
533;LA CARROSSERIE GUINGAMPAISE;13;0
534;LANNION CARROSSERIE;13;0
535;CARROSSERIE RAULT;13;0
536;MANE ENTREPRISE LIMITED;13;0
537;CARROSSERIE FAVREAU;13;0
538;ROADSTER;13;0
539;CARROSSERIE DACQUOISE;13;0
540;S.E.DES ETS GAITTE;13;0
541;LE JUGE PATRICE CYRILLE;13;0
542;SARL CARROSSERIE RONDEAU GARCIA VIDAL;13;0
543;SA CARROSSERIE LABARDIN;13;0
544;ABBERIS;13;0
545;SARL DUMONT AUTOMOBILES;13;0
546;GARAGE ENDARA FRERES;13;0
547;CARROSSERIE VINCENDEAU;13;0
548;SARL XAVIER ALEXANDRE;13;0
549;ACCI-AUTO CARROSSERIE;13;0
550;CARROSSERIE CLAVERES;13;0
551;BECHEMIN JEAN PHILIPPE;13;0
552;CARROSSERIE DEBEST;13;0
553;SARL JEAN-PAUL VIAUD;13;0
554;GARAGE DARROMAN;13;0
555;CARROSSERIE HERRAN;13;0
556;PREMIUM CARROSSERIE;13;0
557;CARROSSERIE JEAN SAYO SARL;13;0
558;CARROSSERIE HABEN SARL;13;0
559;CARROSSERIE TRAISSAC;13;0
560;DEBOSS'CAR;13;0
561;CARROSSERIE MICHEL ET FILS;13;0
562;ETS LANASPA ET AFONSO;13;0
563;CENTRE AUTO BELLE MARION;13;0
564;CARROSSERIE BARCELONA;13;0
565;SARL CARROSSERIE GILLIER;13;0
566;CACHET GIRAUD CARROSSERIE;13;0
567;EURL CARROSSERIE BONNIN;13;0
568;M. MONNET;13;0
569;ATELIER MECANIQUE CARROSSERIE PEINTURE;13;0
570;CARROSERIE JEROME GERAND;13;0
571;CARROSSERIE DU VAL DE SEVRE;13;0
572;SARL CAILLAUD ET FILS;13;0
573;UNION DES REPARATEURS AUTOMOBILES DE LA GUADELOUPE;13;0
574;AUDIGIE ESPACE AUTO;13;0
575;CARROSSERIE BEURRIER SARL;13;0
576;THIBAUDEAU CARROSSERIE;13;0
577;LANDRAUD LAURENT;13;0
578;CHENIN THIERRY;13;0
579;COSTARD MICKAEL;13;0
580;LANDRAUD DANIEL ET MICHEL SARL;13;0
581;SARL FAVIER;13;0
582;CARROSSERIE DE LA GARE GRENIER ET FILS;13;0
583;CARROSSERIE PUJOL ET FILS;13;0
584;ROUGIER YOANN;13;0
585;CARROSSERIE PAUTARD ET FILS;13;0
586;FAUGEDIS;13;0
587;CARROSSERIE AUTOMOBILE COOPERATIVE;13;0
588;CARROSSERIE MARC DUMAS;13;0
589;CARROSSERIE GARON;13;0
590;CARROSSERIE SAINT LAURENTAISE;13;0
591;CARROSSERIE DES SABLES;13;0
592;ORSETTIG JEAN MARC;13;0
593;CARROSSERIE CHALADA SARL;13;0
594;CARROSSERIE LAZEROVIEZ;13;0
595;SARL PLANES;13;0
596;PETRACCO ET FILS;13;0
597;SOC EXPL CARROSSERIE BURG;13;0
598;SARL CARROSSERIE BOURG;13;0
599;CARROSSERIE RODRIGUES;13;0
600;CARROSSERIE DUFOUR;13;0
601;BORDENAVE ALAIN BERNARD;13;0
602;ETABLISSEMENTS PORTET;13;0
603;FREY FREDERIC;13;0
604;CARROSSERIE BITSCHENE;13;0
605;GARAGE AU VIEIL ARMAND;13;0
606;VERGEAU PHILIPPE LAURENT;13;0
607;CARROSSERIE LAIN;13;0
608;GAVIN SERGE HENRI;13;0
609;CARROSSERIE GUICHARD;13;0
610;CARROSSERIE BELNARD;13;0
611;CARROSSERIE PEINTURE MOREAU;13;0
612;FRANCK HEUVELMANS;13;0
613;BUTON;13;0
614;ETS DOMINIQUE LABAT SARL;13;0
615;CARROSSERIE WALCKER;13;0
616;CARROSSERIE SUIRE SARL;13;0
617;SOCIETE D'EXPLOITATION DES ETABLISSSEMENTS NUSSBAUM;13;0
618;EURL DUMARTIN;13;0
619;VASCOES;13;0
620;CARROSSERIE BOUFFET;13;0
621;CARROSSERIE D FRANCISCO;13;0
622;CARROSSERIE KACI;13;0
623;CARROSSERIE MUNCH;13;0
624;CEREA DAVID;13;0
625;CARROSSERIE DE GASCOGNE;13;0
626;CARROSSERIE GERARD BONNAT;13;0
627;EURL CARROSSERIE RIBEIRO;13;0
628;ETCHEBERRY DOMINGUES MARGUERITE;13;0
629;CARROSSERIE JEAN-MARC LISSAGUE;13;0
630;SARL LARRE ET FILS;13;0
631;ABC DESIGN;13;0
632;CARROSSERIE ARTEAGA;13;0
633;SARL D'EXPL.CARROSSERIE GARRAIN;13;0
634;CARROSSERIE MULLER - WACHENHEIM;13;0
635;CARROSSERIE THOMANN;13;0
636;ESPACE AUTOMOBILES SAUSHEIM;13;0
637;CARROSSERIE CARROS;13;0
638;GARAGE ARDURATS;13;0
639;CARROSSERIE BOURGES;13;0
640;LES 2 G;13;0
641;RONCERAY;13;0
642;CENTRE AUTO RENOVATION;13;0
643;CARROSSERIE LANDRAS-BELLAY;13;0
