;representants_id;denomination_affiliation;identifiant_national_affiliation;type_identifiant_national_affiliation
104;69;INTERACTIVE SOFTWARE FEDERATION OF EUROPE;H685466042;HATVP
105;70;A.F.I.S.E;784204539;SIREN
106;70;UNION POUR L'ENTREPRISE ALPES MARITIMES;307525436;SIREN
107;70;FRANCE CHIMIE;784358855;SIREN
108;72;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
109;72;INSTITUT POUR LE DEVELOPPEMENT DES GENEROSITES;519167357;SIREN
110;73;F.R.S.E.A. SUD OUEST;790273155;SIREN
111;73;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
112;73;FED REG SYNDICATS EXPLOITANT AGRICOLES;414733477;SIREN
113;74;CHAMBRE FRANÇAISE DE L'ECONOMIE SOCIALE ET SOLIDAIRE;W751226598;RNA
114;75;SYNTEC ETUDES MARKETING OPINION;419802756;SIREN
115;76;SYNDICAT NATIONAL DU CAOUTCHOUC ET DES POLYMERES;784357485;SIREN
116;76;CONSEIL NATIONAL PROFESSIONS AUTOMOBILE;775688450;SIREN
117;77;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
118;77;CONSEIL DU COMMERCE DE FRANCE;784856528;SIREN
119;79;JEUNES AGRICULTEURS HAUTS DE FRANCE;397772385;SIREN
120;80;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
121;83;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
122;83;FRSEA BOURGOGNE FRANCHE COMTE;442375820;SIREN
123;86;UNION DES ENTREPRISES DE PROXIMITE;349681098;SIREN
124;91;ANIMA'FAC;408560209;SIREN
125;91;PLATEFORME FRANCAISE EDUCATION DEVELOPPEMENT ET A LA SOLIDARITE INTERNATIONALE;801337155;SIREN
126;91;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
127;92;ALLIANCE DES COMPOSANTS ET SYSTEMES POUR L'INDUSTRIE ELECTRONIQUE;798778965;SIREN
128;94;TRANSPARENCY INTERNATIONAL FRANCE;425138393;SIREN
129;95;UNION DE LA PUBLICITE EXTERIEURE;303026280;SIREN
130;96;SYNDICAT FRANCAIS INDUSTRIE CIMENTIERE;784359846;SIREN
131;96;CIMBETON;394398309;SIREN
132;96;ASS TECHNIQUE INDUSTRIE LIANT HYDRAULIQU;342432580;SIREN
133;96;UNICEM ILE DE FRANCE;488379710;SIREN
134;96;SYNDICAT NATIONAL BETON PRET EMPLOI;314817677;SIREN
135;96;FONDATION D'ENTREPRISE ECOLE FRANCAISE DU BETON;789254919;SIREN
136;96;BETOCIB;300575479;SIREN
137;96;UNION NATIONALE PRODUCTEURS GRANULATS;434788972;SIREN
138;97;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
139;97;CONFEDERATION GENERALE ALIMENTAT.DETAIL;784717225;SIREN
140;97;ASS INTERPROF DES FRUITS & LEGUMES FRAIS;308647395;SIREN
141;97;CONFEDERATION DU COMMERCE NON SEDENTAIRE DE L'ALIMENTATION;817524572;SIREN
142;97;COMITE NAT INTERP POMME DE TER;310838198;SIREN
143;97;ASSOCIATION INTERPROFESSIONNELLE DE LA BANANE;790971329;SIREN
144;97;AGCE RECHERC INFORMAT FRUITS LEGUMES FRA;323687624;SIREN
145;97;CONFED COMMERC DETAIL FRANCE;784450231;SIREN
146;97;SYNDICAT CGAD ILE DE FRANCE;419531140;SIREN
147;97;CENTRE TECHNIQ INTERPROF FRUITS LEGUMES;775675796;SIREN
148;101;INSTITUT DE L'ECONOMIE CIRCULAIRE;790867493;SIREN
149;101;CONFED GENERALE PETITES MOYENNES ENTREPR;316809367;SIREN
150;101;RUDOLOGIA;441319894;SIREN
151;101;CERCLE NATIONAL DU RECYCLAGE (C.N.R.);H147962735;HATVP
152;102;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
153;103;ASSO CONSEIL NAT PROTECT CIVILE CNPC;490870995;SIREN
154;103;ASSOCIATION FRANCAISE DE NORMALISATION;775724818;SIREN
155;103;CONSEIL DES INDUSTRIES DE LA CONFIANCE ET DE LA SECURITE;829519289;SIREN
156;103;AGENCE QUALITE CONSTRUCTION;327215695;SIREN
157;103;ASSOCIATION FRANCAISE ECLAIRAGE;784360190;SIREN
158;103;FEDERATION DES INDUSTRIES MECANIQUES;775671688;SIREN
159;104;GROUPEMENT SYNDICAT SYNTEC ETUDE CONSEIL;420512766;SIREN
160;105;ASS FRANCAISE DE LA GESTION FINANCIERE;784362584;SIREN
161;106;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
162;106;CENTRE NAT INTERPRO ECONOMIE LAITIERE;300817954;SIREN
163;106;CONFEDERATION NATIONALE DE L ELEVAGE;378479877;SIREN
164;106;INSTITUT DE L'ELEVAGE;302984158;SIREN
165;106;ASSOCIATION SOLAAL;799591946;SIREN
166;107;SYND INDUST MEDICAM VETERIN REACTIF;423203645;SIREN
167;108;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
168;108;MOUVEMENT DES ENTREPRISES DE FRANCE;784668618;SIREN
169;108;G5;W784002012;RNA
170;108;UNION DES FABRICANTS POUR LA PROTECTION INTERNATIONALE DE LA PROPRIETE DE LA PROPRIETE INTELLECTUELLE;W751045316;RNA
171;108;INDUSTRIE SANTE;308287358;SIREN
172;108;COOPERATION SANTE;441757762;SIREN
173;108;EURO POLITIC;448272773;SIREN
174;108;ASS FRANC DE IND PHARMA POUR UNE AUTOMED;414839126;SIREN
175;109;ASA CENTRE REGIONAL JEUNES AGRICULTEURS;389241050;SIREN
176;110;FEDERAT ENSEIGNES COMMERCE ASSOCIE FCA;784410292;SIREN
177;112;UNION POUR L'ENTREPRISE ALPES MARITIMES;307525436;SIREN
178;112;OPEN INTERNET PROJECT (OIP);W923004941;RNA
179;112;FRENCH TECH COTE D'AZUR;822042990;SIREN
180;112;SYNTEC NUMERIQUE;384719001;SIREN
181;112;ALLIANCE FRANCAISE DES INDUSTRIES DU NUMERIQUE;438608630;SIREN
182;113;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
183;116;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
184;116;ALLIANCE DES MINERAIS MINERAUX ET METAUX - A3M;801944315;SIREN
185;116;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
186;116;CHAMBRE DE COMMERCE INTERNATIONALE;784357337;SIREN
187;117;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
188;121;ASSOCIATION DE MEDIATION ET D'ARBITRAGE PROFESSIONNEL DE L'AUDIOVISUEL;753747914;SIREN
189;122;UNION RHONE ALPES CGPME;403151368;SIREN
190;122;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
191;123;ASSOCIATION DES CHAINES PRIVEES;507862811;SIREN
192;123;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
193;123;ASS DE LUTTE CONTRE LA PIRATERIE AUDIOVI;339337255;SIREN
194;123;SYNDICAT NATIONAL PUBLICITE TELEVISEE;421240508;SIREN
195;123;ASS DES CHAINES DU CABLE ET DU SATELLITE;417740743;SIREN
196;124;JEUNES AGRICULTEURS DES PAYS DE LA LOIRE;379678758;SIREN
197;131;ALLIANCE FRANCAISE DES INDUSTRIES DU NUMERIQUE;438608630;SIREN
198;132;INSTITUT FILTRATION TECHNIQUE SEPARATIVE;322790403;SIREN
199;132;ASSOCIAT TECHNIQUE ENERGIE ENVIRONNEMENT;315062786;SIREN
200;132;ASS SCIENTIFIQUE TECH EAU ENVIRON;784717050;SIREN
201;132;DIRIGEANTS COMMERCIAUX DE FRANCE;395238397;SIREN
202;132;FEDERATION DE LA VENTE DIRECT;784856064;SIREN
203;132;ARPP AUTORITE DE REGULATION PROFESSIONNELLE DE LA PUBLICITE;307287193;SIREN
204;132;AFNOR CERTIFICATION;479076002;SIREN
205;132;ASS INGEN CHAUFF VENTIL FR;775676331;SIREN
206;134;ASSOCIATION DES FOURNISSEURS DE TABACS A FUMER;821297355;SIREN
207;134;UNION FABRIC. PROTECT PROPRIETE INDUST.;784668709;SIREN
208;134;UNION PATRONALE DEPARMENTALE - MEDEF PARIS;398327098;SIREN
209;134;FRANCE VAPOTAGE;834189805;SIREN
210;135;ASSOCIATION FRANCAISE DES MARCHES FINANCIERS AMAFI;W751085070;RNA
211;135;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
212;135;PARIS EUROPLACE;W751107990;RNA
213;136;OPEN KNOWLEDGE F. FRANCE;798488102;SIREN
214;136;ALTER-EU COALITION;H896462854;HATVP
215;137;UNION PATRONALE DEPARMENTALE - MEDEF PARIS;398327098;SIREN
216;137;PLANETE COURTIER;821158631;SIREN
217;137;CENTRE NATIONAL PROFESSSIONS FINANCIERES;784854069;SIREN
218;137;FEDERATION FRANCAISE DE L ASSURANCE (FFA);784409013;SIREN
219;138;RESEAU ACTION CLIMAT FRANCE;422466201;SIREN
220;138;RESEAU CONSIGNE;847558368;SIREN
221;141;CONSEIL NATION ORDRE ARCHITECT;784356354;SIREN
222;143;SYNDICAT NATIONAL FABRIC SUCRE SNFS;775688484;SIREN
223;143;ASS INTERPRO BETTERAVE SUCRE - AIBS;452400724;SIREN
224;143;SYND NAT PRODUCTEURS ALCOOL AGRICOLE;784178113;SIREN
225;144;CHAMBRE DE COMMERCE D'INDUSTRIE DE L'AIN;180130015;SIREN
226;146;ASSOCIATION FRANÇAISE DES JEUX EN LIGNE (AFJEL);W751209201;RNA
227;148;FEDERATION BANCAIRE FRANCAISE;434987582;SIREN
228;148;ASSOC FRANC DES STES FINANC;784669541;SIREN
229;149;ASSOCIATION FRANCAISE DES CONSEILS EN LOBBYING ET AFFAIRES PUBLIQUES (AFCL);H000000001;HATVP
230;150;ASSO SOC FRANCAISES D AUTOR;325951903;SIREN
231;151;ASSOCIATION FRANCAISE DES CONSEILS EN LOBBYING ET AFFAIRES PUBLIQUES (AFCL);H000000001;HATVP
232;152;SYNDICAT NATIONAL DE L'EDITION;784285066;SIREN
233;152;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
234;152;GROUPT FR DE L'INDUSTRIE DE L'INFORMATIO;318949609;SIREN
235;152;SYNDICAT DE LA PRESSE CULTURELLE ET SCIENTIFIQUE;H927753417;HATVP
236;152;SYNDICAT DE LA PRESSE ET DE L'EDITION DES PROFESSIONS DE SANTE;H831662073;HATVP
237;155;HUMEXPO;537478620;SIREN
238;155;RECH INNOV TRANSFERT TECHN MAT FERT ORG;441508017;SIREN
239;155;CIE PARTICIPATION ECO EMBALLAGES;388388902;SIREN
240;155;COLLECTE ET VALORATION DES DECHETS AGRICOLES;437632177;SIREN
241;155;A.D.I.VALOR;438368409;SIREN
242;155;ASS NATIONALE PROFESSION ENGRAIS ET AMENDEMENTS;485269328;SIREN
243;155;ASS  COMIFER;428468920;SIREN
244;155;ASS FR DE PROTECTION DES PLANTES;388488074;SIREN
245;155;ASS  SOCIETES FRANCAISE DES GAZONS;428460554;SIREN
246;155;SOC NAT HORTICULTURE FRANCE;784311680;SIREN
247;155;A.F.I.S.E;784204539;SIREN
248;156;ORDRE DES AVOCATS A LA COUR DE PARIS;302979075;SIREN
249;156;ALINEA AVOCATS ASSOCIES;818695728;SIREN
250;158;CERCLE NATIONAL DU RECYCLAGE;401476874;SIREN
251;158;MOUVEMENT ENTREPRISES DE FRANCE;775021462;SIREN
252;158;AMORCE;751372608;SIREN
253;158;INSTITUT DE L'ECONOMIE CIRCULAIRE;790867493;SIREN
254;158;UNION NATIO SERVI PUBLI INDUS & COMME;451534234;SIREN
255;159;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
256;159;RESEAU ACTION CLIMAT FRANCE;422466201;SIREN
257;159;RESEAU ENVIRONNEMENT SANTE;512241456;SIREN
258;160;ASSOCIATION FRANCAISE DES CONSEILS EN LOBBYING ET AFFAIRES PUBLIQUES (AFCL);H000000001;HATVP
259;161;SYND NAT DE LA RESTAURATION COLLECTIVE;422475962;SIREN
260;162;GROUPEMENT NATIONAL DES INDEPENDANTS;822829727;SIREN
261;163;FEDERATION NATIONALE CINEMAS FRAN;784359200;SIREN
262;164;PLATEFORME DE LA FILIERE AUTOMOBILE;524965019;SIREN
263;164;COMITE ORGAN SALON INTERN AUTO;784669178;SIREN
264;164;ORGANISAT INTERNAT CONSTRUCTEURS AUTOMOB;784358764;SIREN
265;164;GROUPE DES FEDERATIONS INDUSTRIELLES;404091621;SIREN
266;164;UNION INDUSTRIES METIERS METALLURGIE;324642933;SIREN
267;164;ASS UTILISATEURS TRANSPORTS FRET;393985890;SIREN
268;164;AUTOMOBILE CLUB DE FRANCE;775671324;SIREN
269;164;UNION ROUTIERE DE FRANCE;784361701;SIREN
270;164;LA PREVENTION ROUTIERE;775719792;SIREN
271;164;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
272;164;UNION FABRIC. PROTECT PROPRIETE INDUST.;784668709;SIREN
273;164;ARPP AUTORITE DE REGULATION PROFESSIONNELLE DE LA PUBLICITE;307287193;SIREN
274;166;CONSEIL INTERPROFESSIONNEL DE L OPTIQUE CIO;502259054;SIREN
275;166;ASS NATIONALE AMELIORATION VUE;784854416;SIREN
276;166;FILIERE OPTIQUE D'EXCELLENCE;W751231112;RNA
277;166;LES ENTREPRISES DE L'OPTIQUE OPHTALMIQUE;478576259;SIREN
278;166;GPT DES INDUSTRIELS ET FABRICANTS  OPTIQUE;784358012;SIREN
279;166;EDI-OPTIQUE;500707252;SIREN
280;166;SILMO SAS;444493324;SIREN
281;166;OPTIQUE SOLIDAIRE;533373684;SIREN
282;169;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
283;169;GROUPEMENT DES PROFESSIONS DE SERVICES;477942114;SIREN
284;169;MEDEF;499438000;SIREN
285;171;SYNDICAT NATIONAL DE L'EDITION;784285066;SIREN
286;171;INSTITUT MONTAIGNE;444920318;SIREN
287;171;UNION FRANCAISE DES METIERS DE L'EVENEMENT;775675929;SIREN
288;171;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
289;171;UNION PATRONALE DEPARMENTALE - MEDEF PARIS;398327098;SIREN
290;171;GROUPT FR DE L'INDUSTRIE DE L'INFORMATIO;318949609;SIREN
291;171;SYNDICAT DE LA PRESSE CULTURELLE ET SCIENTIFIQUE;H927753417;HATVP
292;171;SYNDICAT DE LA PRESSE ET DE L'EDITION DES PROFESSIONS DE SANTE;H831662073;HATVP
293;171;SYNDICAT DE LA PRESSE ECONOMIQUE JURIDIQUE ET POLITIQUE;H974226168;HATVP
294;172;"COLLECTIF DES ASSOCIATIONS ""UNIES""";W912009064;RNA
295;172;DOM'ASILE;452536774;SIREN
296;172;FEDERATION DES ACTEURS DE LA SOLIDARITE;308401090;SIREN
297;172;UNION NAT INTER OEUVRE PRIVE SANIT SOCIA;775672223;SIREN
298;172;LE MOUVEMENT ASSOCIATIF;430349100;SIREN
299;172;UNION NATIONALE DES ORGANISMES FAISANT APPEL AUX GENEROSITES;497918375;SIREN
300;172;ASS FRANCE BENEVOLAT;452541139;SIREN
301;172;ASS. COLL LES MORTS DE LA RUE;478100670;SIREN
302;172;CTRE DE RECHERCH & INFORM POUR LE DVP;335063269;SIREN
303;172;PARTENARIAT FRANCAIS POUR L'EAU;753506013;SIREN
304;172;PLATEFORME ONG FRANCAISES PALESTINE;433238037;SIREN
305;172;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
306;172;COLLECTIF NATIONAL DROITS DE L HOMME ROMEUROPE;501420889;SIREN
307;172;RESEAU ACTION CLIMAT FRANCE;422466201;SIREN
308;173;CONSEIL NATIONAL DES BARREAUX;391576964;SIREN
309;173;ORDRE DES AVOCATS A LA COUR DE PARIS;302979075;SIREN
310;173;UNION JEUNE AVOCAT COUR APPEL UJA;784179533;SIREN
311;173;ASSOCIATION DES AVOCATS LOBBYISTES;W751210486;RNA
312;173;FEDERATION NATIONALE DES UNIONS DE JEUNES AVOCATS;507501435;SIREN
313;174;FEDERATION BANCAIRE FRANCAISE;434987582;SIREN
314;174;ASS FRANCAISE ENTREPRISES INVESTISSEMENT;348036278;SIREN
315;174;ASS FRANCAISE PROFESSIONNELS DES TITRES;400427910;SIREN
316;174;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
317;174;THE FINANCIAL MARKETS ASSOCIATION;400998993;SIREN
318;174;ICC-FRANCE CONSEIL;418716825;SIREN
319;174;FEDERATION FRANCAISE DE L ASSURANCE (FFA);784409013;SIREN
320;174;ASSOC FRANC DES STES FINANC;784669541;SIREN
321;175;F.N.A.R.;537838203;SIREN
322;177;LE CERCLE DE L'ARBALETE;808074801;SIREN
323;177;FEDERATION DES INDUSTRIES DES EQUIPEMENTS POUR VEHICULES;513481564;SIREN
324;177;SYND PROF FAB FILS CABL ELEC;784668782;SIREN
325;177;SYND NATION INDUST TECHNOL MEDICALES;307330845;SIREN
326;177;SYNDICAT DES EQUIPEMENTS DE LA ROUTE;348302514;SIREN
327;177;SYND NATION MATERIEL ARTICLE PROTECTION;784854234;SIREN
328;177;AFNOR CERTIFICATION;479076002;SIREN
329;177;CHAMBRE DE COMMERCE AMERICAINE EN FRANCE - AMERICAN CHAMBER OF COMMERCE IN FRANCE;W751038014;RNA
330;178;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
331;178;UNION INDUSTRIES METIERS METALLURGIE;324642933;SIREN
332;179;JEUNES AGRICULTEURS AUVERGNE RHONE ALPES;387470503;SIREN
333;180;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
334;180;ASSOCIATION DES SERVICES INTERNET COMMUNAUTAIRES (ASIC);H472708392;HATVP
335;180;L'ASSOCIATION DE L'ECONOMIE NUMERIQUE;322387945;SIREN
336;181;CONFEDERATION GENERALE ALIMENTAT.DETAIL;784717225;SIREN
337;181;UNION DES ENTREPRISES DE PROXIMITE;349681098;SIREN
338;182;CITE LANGUE;528185879;SIREN
339;183;SYND NAT ETS RETRAITE PERSONNES AGEES;440687226;SIREN
340;184;INSTITUT DE L'ECONOMIE CIRCULAIRE;790867493;SIREN
341;185;FEDERATION FRANCAISE DE L ASSURANCE (FFA);784409013;SIREN
342;185;ASSOCIATION DES ASSUREURS MUTUALISTES;822879201;SIREN
343;185;UNION DES ANNONCEURS;784669533;SIREN
344;186;FRANCE CHIMIE;784358855;SIREN
345;186;ASSOCIATION ALLIANCE CHIMIE RECYCLAGE;752862474;SIREN
346;186;COMITE FRANCAIS DES PLASTIQUES EN AGRICULTURE;309814564;SIREN
347;186;UNION DES SYNDICATS PLASTURGIE;423552561;SIREN
348;187;ASSOCIATION FRANCAISE DES CONSEILS EN LOBBYING ET AFFAIRES PUBLIQUES (AFCL);H000000001;HATVP
349;188;COMITE D'ECHANGES FRANCO JAPONAIS;417678141;SIREN
350;188;ASS EUROPEEN VEHICULE ELECTRIQ ROUTIERS;381166792;SIREN
351;188;SOC DES INGENIEURS DE L AUTOMOBILE;352861561;SIREN
352;188;ASSOCIATION FRANCAISE POUR L'HYDROGENE ET LES PILES A COMBUSTIBLE;419636303;SIREN
353;188;ASS TEAM LES GALAPIATS;329744858;SIREN
354;188;FONDATION TUCK;392759460;SIREN
355;188;TERAGIR;331192690;SIREN
356;188;LA PREVENTION ROUTIERE;775719792;SIREN
357;188;FONDATION DE FRANCE;784314908;SIREN
358;190;MOUVEMENT DES ENTREPRISES DE FRANCE;784668618;SIREN
